Accidents & Adverse Effects Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,50.6 ,50, 51.2,5474,rising,9.7 ,3.9, 12.8
"United States",00000,56.6 ,56.5, 56.7,198600,rising,6.0 ,4.8, 8.4
"Glascock County",13125,140.2 ,86.9, 214.8,5,NA,NA,NA,NA
"Heard County",13149,115.7 ,88.4, 148.5,13,rising,3.1 ,0.5, 6.3
"Miller County",13201,109.5 ,72.5, 157.8,6,NA,NA,NA,NA
"Fannin County",13111,95.2 ,77.4, 115.9,26,stable,1.8 ,-0.3, 4.1
"Twiggs County",13289,92 ,62.6, 130.2,7,NA,NA,NA,NA
"McIntosh County",13191,86.2 ,61.1, 117.9,10,NA,NA,NA,NA
"Talbot County",13263,86 ,53.2, 131.4,5,NA,NA,NA,NA
"Chattooga County",13055,85.8 ,69.8, 104.4,21,rising,3.2 ,1.4, 5.4
"Randolph County",13243,83.1 ,51.3, 126.4,5,NA,NA,NA,NA
"Warren County",13301,82.3 ,52.5, 123.7,6,NA,NA,NA,NA
"Madison County",13195,82.3 ,68.3, 98.2,26,rising,18.8 ,2.5, 31.6
"Candler County",13043,82.1 ,59, 111,9,rising,22.9 ,1.4, 42.3
"Rabun County",13241,81.7 ,62.8, 104.5,16,NA,NA,NA,NA
"Polk County",13233,81 ,69, 94.3,34,rising,1.8 ,0.1, 3.6
"Atkinson County",13003,81 ,55.5, 114.1,7,NA,NA,NA,NA
"Montgomery County",13209,80.6 ,55.2, 113.5,7,NA,NA,NA,NA
"Haralson County",13143,80.5 ,66.7, 96.2,25,stable,0.2 ,-1.5, 2.1
"Jeff Davis County",13161,80.1 ,60.3, 104.1,12,NA,NA,NA,NA
"Franklin County",13119,79.5 ,64, 97.6,20,stable,1.0 ,-1.7, 4.0
"Wilkinson County",13319,79.2 ,53.9, 112,7,NA,NA,NA,NA
"Crawford County",13079,77.7 ,56.3, 104.6,10,NA,NA,NA,NA
"Marion County",13197,77.3 ,50, 113.8,6,NA,NA,NA,NA
"Butts County",13035,77 ,62.5, 93.9,21,stable,0.7 ,-1.4, 3.1
"Berrien County",13019,77 ,59.6, 97.8,14,stable,12.8 ,-0.1, 42.3
"Richmond County",13245,76.8 ,71.3, 82.6,155,rising,8.5 ,4.1, 18.6
"Brantley County",13025,76.7 ,59, 97.9,13,NA,NA,NA,NA
"Pierce County",13229,76.3 ,59.6, 96.1,15,NA,NA,NA,NA
"Ware County",13299,75.9 ,63.4, 90,28,rising,13.5 ,2.4, 22.6
"Seminole County",13253,75.4 ,51, 107.2,8,NA,NA,NA,NA
"Toombs County",13279,75.2 ,61.2, 91.3,21,rising,21.0 ,4.0, 33.8
"McDuffie County",13189,74.7 ,58.6, 93.9,16,stable,1.9 ,-0.1, 4.1
"Stephens County",13257,74.7 ,60.9, 90.8,23,stable,0.4 ,-1.3, 2.1
"Peach County",13225,74 ,59.6, 90.7,20,stable,1.1 ,-0.8, 3.2
"Irwin County",13155,73.8 ,52.1, 101.7,8,NA,NA,NA,NA
"Hancock County",13141,73 ,49.6, 104.2,7,NA,NA,NA,NA
"Burke County",13033,72.9 ,57.9, 90.6,17,stable,-1.1 ,-3.4, 1.2
"Jefferson County",13163,72.8 ,55, 94.6,12,NA,NA,NA,NA
"Carroll County",13045,72.7 ,65.8, 80.1,85,rising,4.4 ,1.6, 12.0
"Putnam County",13237,72.6 ,56.7, 91.6,16,rising,16.7 ,1.4, 30.3
"Meriwether County",13199,72.4 ,56.4, 91.4,16,NA,NA,NA,NA
"Jenkins County",13165,72.3 ,49.1, 102.5,7,NA,NA,NA,NA
"Appling County",13001,71.7 ,54.9, 91.9,13,NA,NA,NA,NA
"Lumpkin County",13187,71.4 ,57.9, 87,22,rising,12.8 ,1.5, 22.1
