All Causes of Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,874.1 ,871.6, 876.6,97740,rising,3.7 ,1.8, 6.3
"United States",00000,793.7 ,793.3, 794.1,3164251,rising,1.9 ,1.0, 3.6
"Jefferson County",13163,1341.1 ,1267.2, 1418.4,261,rising,6.7 ,2.9, 11.1
"Emanuel County",13107,1303.8 ,1240.9, 1369.2,338,rising,3.7 ,0.8, 9.2
"Stewart County",13259,1291.9 ,1158.1, 1438.3,73,rising,1.3 ,0.5, 2.1
"Upson County",13293,1275.4 ,1222.4, 1330.3,462,rising,5.2 ,1.7, 11.0
"Atkinson County",13003,1256 ,1147.3, 1372.1,105,rising,10.3 ,2.2, 16.0
"Ben Hill County",13017,1255.1 ,1186.9, 1326.4,268,rising,3.4 ,1.5, 8.3
"Ware County",13299,1246.7 ,1199.9, 1295,559,rising,7.1 ,3.0, 12.4
"Candler County",13043,1238.5 ,1154, 1327.8,171,rising,11.0 ,0.6, 19.3
"Clinch County",13065,1224.6 ,1112.9, 1344.7,95,stable,1.6 ,-0.6, 10.7
"Miller County",13201,1207.8 ,1097.2, 1327.3,103,stable,1.0 ,0.0, 2.0
"Twiggs County",13289,1207 ,1113, 1307.6,141,rising,3.2 ,0.6, 11.6
"Bacon County",13005,1204.1 ,1117.6, 1295.7,152,stable,2.4 ,-0.1, 8.5
"Polk County",13233,1199.8 ,1154.9, 1246,563,rising,5.7 ,1.2, 8.8
"Haralson County",13143,1195.1 ,1142.6, 1249.5,407,rising,0.7 ,0.2, 1.4
"Treutlen County",13283,1192.8 ,1085.4, 1308.6,96,rising,5.7 ,1.4, 14.9
"Glascock County",13125,1191.7 ,1037.1, 1364.6,45,stable,0.7 ,-0.3, 1.9
"Wilkinson County",13319,1189.4 ,1100.5, 1284,145,rising,3.1 ,0.2, 11.5
"Chattooga County",13055,1188.5 ,1134, 1245.1,375,rising,5.6 ,1.2, 8.4
"Wayne County",13305,1184.5 ,1132.9, 1237.9,411,rising,3.9 ,1.5, 8.8
"Jeff Davis County",13161,1175 ,1099.8, 1254,194,rising,2.0 ,0.1, 8.5
"Pierce County",13229,1172.4 ,1109.8, 1237.7,275,stable,3.4 ,-0.9, 8.0
"Macon County",13193,1160.7 ,1079.9, 1246.1,167,rising,2.1 ,0.7, 5.3
"Crisp County",13081,1155.3 ,1095.8, 1217.5,307,stable,1.2 ,-4.2, 5.5
"Berrien County",13019,1154.6 ,1091.3, 1220.9,261,rising,3.7 ,1.6, 8.5
"Toombs County",13279,1152.4 ,1099.8, 1206.9,374,rising,8.1 ,1.8, 12.1
"Montgomery County",13209,1149.9 ,1055.4, 1250.9,118,rising,6.3 ,1.6, 12.0
"Butts County",13035,1145 ,1089.2, 1202.9,330,rising,6.1 ,0.7, 9.9
"Franklin County",13119,1144.6 ,1090, 1201.5,349,rising,1.5 ,0.6, 4.8
"Terrell County",13273,1140.4 ,1053.3, 1233.2,138,rising,5.5 ,1.3, 12.2
"Lamar County",13171,1133.6 ,1069.9, 1200.3,250,stable,0.3 ,-0.5, 1.1
"Early County",13099,1130.2 ,1052, 1213,166,stable,0.6 ,-0.3, 1.4
"Dougherty County",13095,1130.2 ,1099.8, 1161.1,1113,rising,6.6 ,2.9, 11.1
"Taliaferro County",13265,1126.8 ,937, 1349.8,32,stable,-0.2 ,-2.2, 1.7
"Peach County",13225,1120.7 ,1067.9, 1175.5,362,rising,4.8 ,0.2, 8.2
"Colquitt County",13071,1119 ,1077.7, 1161.4,571,rising,1.7 ,0.7, 5.4
"Bibb County",13021,1118.1 ,1095.9, 1140.6,2024,rising,5.3 ,2.9, 8.4
"Jenkins County",13165,1117.4 ,1027.2, 1213.8,118,rising,3.0 ,0.2, 8.8
"Sumter County",13261,1116.1 ,1065.6, 1168.6,387,stable,0.6 ,-0.1, 1.2
"Meriwether County",13199,1113.9 ,1057.4, 1172.9,319,rising,3.6 ,1.2, 9.5
"Coffee County",13069,1113.2 ,1068.9, 1158.8,496,rising,2.8 ,0.8, 8.2
"Stephens County",13257,1108.3 ,1059.5, 1158.9,421,rising,4.7 ,1.0, 7.4
"Heard County",13149,1106.2 ,1026.3, 1190.9,152,rising,3.1 ,1.0, 8.8
"Cook County",13075,1102.5 ,1037.7, 1170.5,223,stable,6.8 ,0.0, 11.8
"Spalding County",13255,1099.4 ,1066.8, 1132.8,912,rising,5.8 ,0.9, 9.6
"Floyd County",13115,1097.9 ,1070.9, 1125.5,1296,rising,3.4 ,2.0, 6.9
"Irwin County",13155,1093.5 ,1011.6, 1180.8,137,rising,5.0 ,3.0, 9.0
"Elbert County",13105,1092.6 ,1036.6, 1151.2,311,rising,7.1 ,2.7, 10.5
"Brantley County",13025,1092.5 ,1029.5, 1158.5,239,rising,3.2 ,0.3, 9.0
"Richmond County",13245,1091.2 ,1071.1, 1111.7,2357,rising,4.4 ,1.8, 7.5
"Turner County",13287,1087.5 ,1003.6, 1177,133,rising,1.7 ,0.2, 5.9
"Warren County",13301,1086.9 ,980.8, 1202.6,87,stable,-0.1 ,-1.3, 1.1
"Washington County",13303,1085.9 ,1027.5, 1147,273,rising,3.3 ,0.5, 11.5
"Tift County",13277,1083.6 ,1041.2, 1127.5,505,rising,3.5 ,1.7, 7.2
"Screven County",13251,1082.6 ,1013.7, 1155.2,200,stable,0.3 ,-0.5, 1.0
"Mitchell County",13205,1080.5 ,1024.8, 1138.6,294,rising,2.2 ,0.7, 6.3
"McDuffie County",13189,1079.3 ,1021.5, 1139.6,281,stable,2.1 ,-0.2, 8.6
"Quitman County",13239,1075.7 ,916.8, 1258.7,44,stable,0.1 ,-1.3, 1.5
"Brooks County",13027,1073.5 ,1008.5, 1141.7,222,rising,2.2 ,0.7, 6.1
"Carroll County",13045,1071.1 ,1044.6, 1098.1,1289,rising,1.1 ,0.5, 3.2
"Laurens County",13175,1069.9 ,1033.2, 1107.7,674,rising,6.6 ,1.9, 9.7
"Baldwin County",13009,1065.2 ,1023.8, 1107.9,533,rising,3.6 ,1.6, 8.4
"Crawford County",13079,1064 ,988.4, 1144.2,164,rising,4.8 ,2.2, 10.2
"Thomas County",13275,1059.9 ,1021.8, 1099.3,613,rising,4.0 ,1.8, 6.9
"Pike County",13231,1059.4 ,997.7, 1124.1,230,rising,5.0 ,1.7, 8.7
"Appling County",13001,1058.7 ,997.9, 1122.4,239,stable,3.3 ,-0.3, 9.3
"Hancock County",13141,1058.7 ,976, 1147.4,140,rising,6.0 ,1.4, 19.5
"Telfair County",13271,1058.5 ,987.3, 1134,174,rising,3.5 ,1.4, 9.3
"Gordon County",13129,1056 ,1020.1, 1092.8,678,rising,5.0 ,2.5, 8.1
"Wilkes County",13317,1050.6 ,974.6, 1131.7,161,stable,5.7 ,0.0, 10.1
"Tattnall County",13267,1047.5 ,992.3, 1105.1,279,stable,-0.1 ,-0.7, 0.6
"Decatur County",13087,1047.4 ,999.2, 1097.3,371,rising,3.3 ,0.4, 7.9
"Evans County",13109,1040.8 ,962.6, 1124,137,stable,-0.2 ,-1.4, 1.1
"Murray County",13213,1038 ,994.6, 1082.7,456,stable,5.0 ,-0.7, 9.6
"Muscogee County",13215,1037.1 ,1017.7, 1056.7,2256,rising,2.4 ,1.0, 5.2
"Troup County",13285,1035.1 ,1003.2, 1067.8,828,rising,2.3 ,0.8, 5.6
"Dodge County",13091,1035 ,980.1, 1092.4,279,stable,8.8 ,0.0, 14.8
"Johnson County",13167,1032.5 ,953.3, 1117.2,133,rising,6.1 ,2.5, 13.2
"Worth County",13321,1031.5 ,976.1, 1089.3,281,rising,4.0 ,1.7, 9.1
"Walker County",13295,1027.8 ,997.7, 1058.6,930,rising,0.8 ,0.1, 3.7
"Banks County",13011,1024.4 ,961.8, 1090.1,216,rising,1.1 ,0.1, 2.2
"Talbot County",13263,1014 ,916.1, 1121,94,stable,2.6 ,-0.4, 9.5
"Charlton County",13049,1010.6 ,938.7, 1086.8,151,rising,5.6 ,0.4, 13.9
"Dade County",13083,1008.8 ,947.4, 1073.4,217,stable,0.1 ,-0.5, 0.7
"Lowndes County",13185,1007.7 ,980.8, 1035.1,1101,rising,3.3 ,1.6, 6.4
"Taylor County",13269,1007.5 ,923.7, 1097.6,116,stable,3.4 ,-0.3, 10.6
"Randolph County",13243,1007.1 ,912.3, 1110.1,104,stable,1.9 ,-0.8, 12.7
"Lanier County",13173,1005.9 ,920.6, 1097.2,107,stable,-0.4 ,-1.3, 0.5
"Wilcox County",13315,1005.6 ,926.1, 1090.7,125,rising,9.5 ,0.8, 17.5
"Madison County",13195,1001.4 ,954.2, 1050.4,359,rising,3.8 ,0.2, 7.8
"Burke County",13033,996.1 ,942.1, 1052.5,273,stable,0.2 ,-0.9, 3.5
"Bartow County",13015,994.8 ,968.3, 1021.8,1135,rising,4.5 ,1.1, 8.3
"Marion County",13197,994.3 ,906.6, 1089,106,rising,4.2 ,1.1, 9.2
"Bleckley County",13023,992.2 ,923.3, 1065.2,163,stable,0.2 ,-0.7, 1.1
"Liberty County",13179,990 ,948, 1033.3,471,rising,3.7 ,1.5, 8.9
"Calhoun County",13037,984.3 ,879, 1099.6,68,rising,1.9 ,0.2, 4.8
"Newton County",13217,983 ,956.2, 1010.4,1073,rising,3.4 ,0.8, 7.5
"Seminole County",13253,977.2 ,901.6, 1058.2,143,stable,-0.4 ,-1.1, 0.2
"Barrow County",13013,972.4 ,940.7, 1004.8,757,rising,3.6 ,1.6, 6.9
"Clay County",13061,971 ,837.7, 1122.4,47,stable,-0.6 ,-1.9, 0.7
"Jasper County",13159,962 ,897.2, 1030.6,174,rising,1.6 ,0.1, 7.1
"Jackson County",13157,960.4 ,928.9, 992.6,742,stable,3.9 ,-0.6, 7.3
"Clayton County",13063,952.6 ,932.9, 972.6,2123,rising,3.2 ,1.2, 7.1
"McIntosh County",13191,952.3 ,882, 1027.4,174,rising,4.6 ,2.0, 12.4
"Lee County",13177,947 ,896.2, 999.9,283,rising,4.4 ,1.5, 9.3
"Effingham County",13103,945.6 ,909.2, 983.1,550,stable,0.0 ,-0.6, 0.7
"Walton County",13297,945.3 ,919.6, 971.6,1058,stable,0.1 ,-0.4, 0.7
"Dooly County",13093,943 ,873.9, 1016.6,151,rising,4.9 ,0.6, 15.9
"Chattahoochee County",13053,942.6 ,810, 1088.9,40,stable,0.5 ,-1.7, 8.6
"Fannin County",13111,932 ,886.9, 979.2,410,rising,6.3 ,0.5, 10.3
"Habersham County",13137,925.1 ,889.9, 961.4,543,rising,1.8 ,0.7, 6.2
"White County",13311,922.4 ,879, 967.7,378,rising,8.7 ,4.7, 14.1
"Douglas County",13097,922.3 ,897.5, 947.5,1152,rising,3.5 ,1.0, 6.5
"Henry County",13151,920.9 ,901.7, 940.4,1927,rising,4.5 ,1.4, 6.6
"Long County",13183,920.5 ,845.3, 1000.2,123,stable,1.5 ,-0.2, 8.6
"Pickens County",13227,916.9 ,875.5, 960,413,rising,6.9 ,3.8, 9.3
"Bryan County",13029,913.9 ,869.3, 960,335,stable,-0.6 ,-1.4, 0.3
"Whitfield County",13313,912.5 ,887.2, 938.3,1009,rising,4.4 ,1.6, 7.7
"Hart County",13147,909.6 ,866, 955.2,355,rising,2.5 ,0.7, 7.1
"Bulloch County",13031,909.5 ,877.4, 942.6,633,rising,4.2 ,0.2, 6.8
"Houston County",13153,907.5 ,886.4, 929.1,1454,rising,2.8 ,1.0, 7.1
"Lumpkin County",13187,905.5 ,861.5, 951.2,346,rising,2.9 ,0.3, 8.7
"Monroe County",13207,904.4 ,860.5, 950.1,339,rising,2.5 ,0.7, 6.8
"Pulaski County",13235,904 ,834.7, 978.2,137,stable,3.3 ,0.0, 11.6
"Grady County",13131,902.3 ,856.1, 950.4,303,stable,6.0 ,-0.6, 10.8
"Putnam County",13237,901.4 ,853.1, 952.1,300,stable,7.9 ,-0.6, 14.3
"Catoosa County",13047,885.5 ,857.1, 914.6,766,rising,2.5 ,0.9, 6.5
"Rabun County",13241,883.4 ,831.1, 938.7,250,rising,7.2 ,0.1, 12.4
"Baker County",13007,880.9 ,750.5, 1029.7,38,stable,6.3 ,-0.7, 26.0
"Jones County",13169,877.8 ,833.5, 924,309,rising,3.6 ,0.8, 9.4
"Webster County",13307,871.9 ,723.7, 1043.8,31,rising,7.2 ,1.5, 21.3
"Rockdale County",13247,870.2 ,843.7, 897.3,864,rising,2.6 ,1.0, 5.8
"Oglethorpe County",13221,869.6 ,810.8, 931.9,172,rising,2.3 ,0.3, 7.9
"Lincoln County",13181,869.1 ,790.8, 954,105,stable,1.7 ,-2.5, 9.7
"Coweta County",13077,866 ,844.4, 888.1,1291,rising,5.0 ,1.0, 7.8
