Cancer Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,150.9 ,149.9, 151.9,17883,falling,-1.5 ,-1.6, -1.4
"United States",00000,146 ,145.8, 146.2,602955,falling,-1.5 ,-1.6, -1.3
"Stewart County",13259,232.5 ,178.9, 299.2,13,stable,1.1 ,-0.2, 2.4
"Atkinson County",13003,215 ,173.7, 263.3,20,NA,NA,NA,NA
"Jefferson County",13163,214.3 ,186.6, 245.4,45,stable,-0.3 ,-1.3, 0.7
"Wilkes County",13317,213.3 ,180.6, 251,34,stable,-0.3 ,-1.6, 1.1
"Montgomery County",13209,208.8 ,170.5, 253.5,22,stable,-0.2 ,-1.9, 1.7
"Wayne County",13305,207.1 ,186.4, 229.5,76,stable,0.4 ,-0.5, 1.5
"Chattahoochee County",13053,204.8 ,143.7, 280.5,8,NA,NA,NA,NA
"Pike County",13231,203.4 ,177.8, 232,47,stable,-0.2 ,-1.5, 1.3
"Brantley County",13025,203 ,177, 231.9,47,stable,-0.5 ,-1.5, 0.8
"Crawford County",13079,201.2 ,170.6, 236.2,34,stable,-1.3 ,-3.2, 0.9
"Treutlen County",13283,199.9 ,158.8, 249.2,17,stable,0.5 ,-0.8, 1.9
"Emanuel County",13107,199.2 ,176, 224.7,56,stable,-0.3 ,-1.4, 0.8
"Stephens County",13257,198.8 ,179, 220.3,79,falling,-1.0 ,-1.8, -0.2
"Franklin County",13119,196 ,174.5, 219.7,64,stable,0.1 ,-0.7, 1.0
"Evans County",13109,196 ,163, 234.1,26,stable,-0.8 ,-2.8, 1.3
"Pierce County",13229,195.4 ,170.9, 222.6,48,stable,-0.7 ,-1.9, 0.5
"Terrell County",13273,195.4 ,161.9, 234.4,25,falling,-2.3 ,-3.5, -1.2
"Toombs County",13279,192.6 ,171.8, 215.4,65,stable,-0.6 ,-1.7, 0.6
"Chattooga County",13055,192.5 ,171.8, 215.2,65,stable,-0.6 ,-1.2, 0.0
"Polk County",13233,192.2 ,175.1, 210.5,97,falling,-0.9 ,-1.8, -0.1
"Madison County",13195,191.5 ,172, 212.7,75,stable,-0.8 ,-2.0, 0.4
"Butts County",13035,190.3 ,168.7, 214.2,58,stable,-0.6 ,-1.9, 0.7
"Murray County",13213,189.1 ,171.6, 208,90,falling,-1.5 ,-2.4, -0.5
"Twiggs County",13289,189.1 ,154.8, 229.9,24,stable,-0.8 ,-1.9, 0.3
"Bacon County",13005,188.9 ,157, 225.6,26,stable,-1.2 ,-2.8, 0.3
"Elbert County",13105,188.7 ,166.7, 213.2,57,stable,-0.5 ,-1.5, 0.6
