Cerebrovascular Diseases Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,44.5 ,43.9, 45.1,4851,stable,0.5 ,-0.1, 1.2
"United States",00000,38.9 ,38.8, 39,157270,rising,0.9 ,0.6, 1.2
"Upson County",13293,75 ,62.7, 89.2,27,falling,-3.5 ,-5.3, -2.1
"Treutlen County",13283,74 ,50.2, 106.3,6,NA,NA,NA,NA
"Jefferson County",13163,73.8 ,57.3, 93.8,14,NA,NA,NA,NA
"Troup County",13285,68.1 ,60.1, 76.8,55,rising,16.0 ,2.2, 32.4
"Butts County",13035,66.4 ,53.5, 81.6,19,rising,4.9 ,0.7, 14.0
"Emanuel County",13107,66.3 ,52.4, 82.7,16,stable,-1.7 ,-3.5, 0.0
"Douglas County",13097,66.2 ,59.3, 73.5,74,rising,6.5 ,1.1, 17.0
"Bleckley County",13023,64.4 ,47.6, 85.7,10,NA,NA,NA,NA
"Colquitt County",13071,62.4 ,53, 73.1,32,stable,3.4 ,-0.5, 17.8
"Miller County",13201,62.2 ,38.7, 95.5,5,NA,NA,NA,NA
"Pike County",13231,61.9 ,47.4, 79.4,13,stable,-0.4 ,-2.7, 2.2
"Toombs County",13279,60.8 ,49.3, 74.2,20,stable,12.8 ,-2.7, 26.4
"Clinch County",13065,60.3 ,37.2, 92.7,4,NA,NA,NA,NA
"Paulding County",13223,59.8 ,53.5, 66.5,72,rising,5.5 ,1.7, 17.6
"Berrien County",13019,59.4 ,45.9, 75.9,14,NA,NA,NA,NA
"Sumter County",13261,59.3 ,48.4, 72.1,21,stable,2.1 ,-1.5, 11.9
"Clayton County",13063,58.2 ,53.1, 63.6,112,rising,3.8 ,0.7, 13.1
"Peach County",13225,58.2 ,46.6, 71.9,18,stable,-1.0 ,-2.6, 0.7
"Ben Hill County",13017,58.1 ,44.4, 74.9,13,NA,NA,NA,NA
"Cook County",13075,58 ,43.7, 75.5,11,NA,NA,NA,NA
"Polk County",13233,57.6 ,48, 68.5,27,stable,-0.6 ,-2.0, 0.8
"Charlton County",13049,57.4 ,41.2, 78.3,8,NA,NA,NA,NA
"Clay County",13061,57.1 ,32.2, 101.2,3,NA,NA,NA,NA
"Dougherty County",13095,57.1 ,50.6, 64.3,58,stable,1.1 ,-1.7, 11.6
"Mitchell County",13205,57 ,45, 71.4,16,stable,-1.5 ,-2.9, 0.0
"Meriwether County",13199,56.7 ,45.1, 70.8,17,stable,12.0 ,-2.2, 30.9
"Burke County",13033,56.6 ,44, 71.6,15,stable,-2.6 ,-5.5, 0.0
"Heard County",13149,56.3 ,39.7, 77.8,8,NA,NA,NA,NA
"Warren County",13301,56.1 ,34.9, 87.8,5,NA,NA,NA,NA
"Montgomery County",13209,55.7 ,36.7, 81.6,6,NA,NA,NA,NA
"Ware County",13299,55.3 ,46, 66.1,25,falling,-1.7 ,-3.6, -0.1
"Elbert County",13105,55.1 ,43.7, 69.1,17,falling,-2.9 ,-4.6, -1.3
"Wilkes County",13317,55 ,38.8, 76.8,9,NA,NA,NA,NA
"Atkinson County",13003,54.9 ,33.9, 83.8,4,NA,NA,NA,NA
"Newton County",13217,54.6 ,48.3, 61.5,56,stable,1.0 ,-0.9, 9.3
"Crisp County",13081,54.4 ,42, 69.4,14,NA,NA,NA,NA
"Macon County",13193,53.9 ,37.8, 74.9,8,NA,NA,NA,NA
"Spalding County",13255,53.9 ,47, 61.6,45,stable,0.8 ,-1.3, 7.2
"Muscogee County",13215,52.3 ,48.1, 56.9,114,rising,3.9 ,0.9, 10.4
"Barrow County",13013,52.2 ,44.9, 60.4,39,stable,3.7 ,-5.2, 13.9
"Decatur County",13087,51.8 ,41.6, 63.9,18,stable,-1.5 ,-3.8, 0.6
"Randolph County",13243,51.5 ,32.1, 79.8,5,NA,NA,NA,NA
"McDuffie County",13189,51.5 ,39.6, 65.9,14,NA,NA,NA,NA
"Rabun County",13241,51.5 ,40.7, 65.1,16,NA,NA,NA,NA
"Henry County",13151,51.2 ,46.5, 56.2,95,rising,2.1 ,0.3, 9.2
"Lumpkin County",13187,50.9 ,41.1, 62.5,20,stable,1.7 ,-0.4, 8.6
"Cobb County",13067,50.9 ,48.4, 53.4,338,stable,-0.5 ,-6.1, 4.3
"Wayne County",13305,50.5 ,40.4, 62.5,18,stable,-0.4 ,-3.5, 11.3
"Dade County",13083,50.4 ,38.1, 66,12,NA,NA,NA,NA
"Taylor County",13269,50.2 ,33.9, 73.2,6,NA,NA,NA,NA
"Carroll County",13045,49.9 ,44.3, 56.1,58,stable,0.3 ,-1.9, 4.6
