Diabetes Mellitus Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,22.8 ,22.4, 23.2,2663,stable,0.1 ,-0.3, 0.7
"United States",00000,23.5 ,23.5, 23.6,95854,rising,2.4 ,1.1, 5.6
"Dougherty County",13095,88.4 ,80.1, 97.4,88,rising,8.9 ,7.7, 10.6
"Jenkins County",13165,81.6 ,59.3, 110.1,9,NA,NA,NA,NA
"Terrell County",13273,74 ,53.7, 100.3,10,NA,NA,NA,NA
"Colquitt County",13071,68.1 ,58.3, 79.1,36,stable,2.2 ,-13.1, 8.7
"Evans County",13109,64.8 ,46.8, 87.8,9,NA,NA,NA,NA
"Miller County",13201,58.7 ,38, 88.3,5,NA,NA,NA,NA
"Jefferson County",13163,58.6 ,43.9, 76.9,12,NA,NA,NA,NA
"Stewart County",13259,57.5 ,33.3, 95.4,3,NA,NA,NA,NA
"Screven County",13251,56.7 ,42.2, 75.1,11,NA,NA,NA,NA
"Pierce County",13229,56.1 ,43.2, 71.9,13,NA,NA,NA,NA
"Worth County",13321,55.4 ,43.2, 70.2,15,rising,3.9 ,1.4, 7.0
"Bacon County",13005,54.1 ,36.9, 76.6,7,NA,NA,NA,NA
"Ben Hill County",13017,53.6 ,40.2, 70.3,11,NA,NA,NA,NA
"Seminole County",13253,52.6 ,37.1, 73.7,8,NA,NA,NA,NA
"Treutlen County",13283,52.4 ,30.8, 83.6,4,NA,NA,NA,NA
"Candler County",13043,49.8 ,34, 70.7,7,NA,NA,NA,NA
"Montgomery County",13209,49.5 ,32, 73.7,6,NA,NA,NA,NA
"Lanier County",13173,47.1 ,30.6, 69.5,5,NA,NA,NA,NA
"Peach County",13225,47 ,36.6, 59.5,15,stable,0.6 ,-1.2, 2.7
