Homicide & Legal Intervention Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,10.1 ,9.8, 10.4,1066,rising,7.7 ,5.9, 10.3
"United States",00000,7.3 ,7.3, 7.3,23389,rising,5.7 ,3.8, 9.1
"Bibb County",13021,29.1 ,25.3, 33.3,43,rising,18.6 ,8.1, 36.5
"Muscogee County",13215,22.5 ,19.6, 25.6,46,rising,13.9 ,8.3, 27.5
"Dougherty County",13095,20.2 ,16, 25.2,17,NA,NA,NA,NA
"Crisp County",13081,19.5 ,11.4, 30.9,4,NA,NA,NA,NA
"Clayton County",13063,19.1 ,17, 21.5,58,rising,15.5 ,3.4, 25.8
"McDuffie County",13189,19 ,11.2, 30,4,NA,NA,NA,NA
"Meriwether County",13199,18.1 ,10.5, 29,4,NA,NA,NA,NA
"Laurens County",13175,17.9 ,12.7, 24.4,8,NA,NA,NA,NA
"DeKalb County",13089,17.6 ,16.3, 19,133,rising,8.9 ,6.4, 13.1
"Richmond County",13245,17 ,14.5, 19.8,36,rising,3.0 ,1.2, 5.2
"Decatur County",13087,17 ,10.7, 25.5,5,NA,NA,NA,NA
"Sumter County",13261,16.8 ,10.5, 25.4,5,NA,NA,NA,NA
"Baldwin County",13009,15.8 ,10.4, 22.8,6,NA,NA,NA,NA
"Fulton County",13121,15.7 ,14.7, 16.8,176,rising,7.0 ,4.4, 11.5
"Tift County",13277,15.5 ,10.4, 22.1,6,NA,NA,NA,NA
"Tattnall County",13267,14.5 ,8.4, 23.4,3,NA,NA,NA,NA
"Rockdale County",13247,14.1 ,10.8, 18.1,13,rising,5.8 ,2.7, 10.8
"Butts County",13035,13.6 ,8, 21.7,4,NA,NA,NA,NA
"Upson County",13293,12.8 ,7.2, 21,3,NA,NA,NA,NA
"Peach County",13225,12.8 ,7.3, 20.8,3,NA,NA,NA,NA
"Chatham County",13051,12.8 ,11, 14.8,39,stable,8.2 ,-0.1, 15.8
"Toombs County",13279,12.5 ,7.1, 20.3,3,NA,NA,NA,NA
"Newton County",13217,12.4 ,9.6, 15.8,14,NA,NA,NA,NA
"Troup County",13285,12.2 ,8.7, 16.5,8,NA,NA,NA,NA
"Polk County",13233,11.8 ,7.3, 17.8,4,NA,NA,NA,NA
"Henry County",13151,11.6 ,9.7, 13.8,27,rising,6.6 ,4.7, 9.8
"Coffee County",13069,11.4 ,7.2, 17.1,5,NA,NA,NA,NA
"Spalding County",13255,10.7 ,7.3, 15,7,NA,NA,NA,NA
"Liberty County",13179,10.1 ,6.7, 14.5,7,NA,NA,NA,NA
"Ware County",13299,9.6 ,5.5, 15.5,3,NA,NA,NA,NA
"Lowndes County",13185,8.7 ,6.5, 11.6,11,stable,2.2 ,-1.3, 6.8
"Glynn County",13127,8.4 ,5.7, 12,6,NA,NA,NA,NA
"Douglas County",13097,8.1 ,6.2, 10.6,11,NA,NA,NA,NA
"Colquitt County",13071,7.7 ,4.4, 12.3,3,NA,NA,NA,NA
"Effingham County",13103,7.4 ,4.6, 11.1,5,NA,NA,NA,NA
"Houston County",13153,7.2 ,5.5, 9.4,11,rising,26.8 ,3.2, 49.3
"Bulloch County",13031,7.2 ,4.6, 10.6,6,NA,NA,NA,NA
"Floyd County",13115,7.1 ,4.9, 10,7,NA,NA,NA,NA
"Walton County",13297,6.6 ,4.5, 9.5,6,NA,NA,NA,NA
"Paulding County",13223,6.5 ,4.9, 8.5,11,rising,11.6 ,3.8, 41.1
"Barrow County",13013,6.5 ,4.3, 9.4,6,NA,NA,NA,NA
"Walker County",13295,6.2 ,3.8, 9.7,4,NA,NA,NA,NA
"Fayette County",13113,6.1 ,4.1, 8.8,6,NA,NA,NA,NA
