Influenza Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,1.2 ,1.1, 1.3,137,rising,7.6 ,4.6, 13.9
"United States",00000,1.5 ,1.5, 1.5,5912,rising,8.4 ,5.2, 15.3
"Chatham County",13051,1.5 ,0.9, 2.2,5,NA,NA,NA,NA
"Fulton County",13121,1.3 ,1, 1.6,13,NA,NA,NA,NA
"Gwinnett County",13135,0.8 ,0.6, 1.2,7,NA,NA,NA,NA
"Cobb County",13067,0.7 ,0.5, 1.1,6,NA,NA,NA,NA
"DeKalb County",13089,0.6 ,0.4, 0.9,5,NA,NA,NA,NA
"Appling County",13001,NA ,NA, NA,NA,NA,NA,NA,NA
"Atkinson County",13003,NA ,NA, NA,NA,NA,NA,NA,NA
"Bacon County",13005,NA ,NA, NA,NA,NA,NA,NA,NA
"Baker County",13007,NA ,NA, NA,NA,NA,NA,NA,NA
"Baldwin County",13009,NA ,NA, NA,NA,NA,NA,NA,NA
"Banks County",13011,NA ,NA, NA,NA,NA,NA,NA,NA
"Barrow County",13013,NA ,NA, NA,NA,NA,NA,NA,NA
"Bartow County",13015,NA ,NA, NA,NA,NA,NA,NA,NA
"Ben Hill County",13017,NA ,NA, NA,NA,NA,NA,NA,NA
"Berrien County",13019,NA ,NA, NA,NA,NA,NA,NA,NA
"Bibb County",13021,NA ,NA, NA,NA,NA,NA,NA,NA
"Bleckley County",13023,NA ,NA, NA,NA,NA,NA,NA,NA
"Brantley County",13025,NA ,NA, NA,NA,NA,NA,NA,NA
"Brooks County",13027,NA ,NA, NA,NA,NA,NA,NA,NA
"Bryan County",13029,NA ,NA, NA,NA,NA,NA,NA,NA
"Bulloch County",13031,NA ,NA, NA,NA,NA,NA,NA,NA
"Burke County",13033,NA ,NA, NA,NA,NA,NA,NA,NA
"Butts County",13035,NA ,NA, NA,NA,NA,NA,NA,NA
"Calhoun County",13037,NA ,NA, NA,NA,NA,NA,NA,NA
"Camden County",13039,NA ,NA, NA,NA,NA,NA,NA,NA
"Candler County",13043,NA ,NA, NA,NA,NA,NA,NA,NA
"Carroll County",13045,NA ,NA, NA,NA,NA,NA,NA,NA
"Catoosa County",13047,NA ,NA, NA,NA,NA,NA,NA,NA
"Charlton County",13049,NA ,NA, NA,NA,NA,NA,NA,NA
"Chattahoochee County",13053,NA ,NA, NA,NA,NA,NA,NA,NA
"Chattooga County",13055,NA ,NA, NA,NA,NA,NA,NA,NA
"Cherokee County",13057,NA ,NA, NA,NA,NA,NA,NA,NA
