Kidney Disease (Nephritis & Nephrosis) Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,19.1 ,18.8, 19.5,2158,rising,0.6 ,0.2, 1.4
"United States",00000,13.2 ,13.2, 13.3,53558,stable,0.1 ,-0.3, 0.7
"Miller County",13201,45 ,26.4, 73,4,NA,NA,NA,NA
"Hancock County",13141,41.8 ,24.4, 67.3,4,NA,NA,NA,NA
"Toombs County",13279,38.7 ,29.4, 50.1,12,NA,NA,NA,NA
"Taylor County",13269,38.2 ,24.1, 59.1,5,NA,NA,NA,NA
"Spalding County",13255,35.8 ,30.2, 42.2,30,stable,1.7 ,0.0, 3.6
"Turner County",13287,35.8 ,21.1, 57,4,NA,NA,NA,NA
"Randolph County",13243,35.6 ,21.6, 58.1,4,NA,NA,NA,NA
"Terrell County",13273,35.5 ,22.1, 54.9,5,NA,NA,NA,NA
"Peach County",13225,34.8 ,26.3, 45.3,12,NA,NA,NA,NA
"Charlton County",13049,34.7 ,22.6, 51.5,5,NA,NA,NA,NA
"Ware County",13299,34.7 ,27.4, 43.5,16,rising,4.6 ,2.0, 12.9
"Meriwether County",13199,34.7 ,25.4, 46.5,10,NA,NA,NA,NA
"Berrien County",13019,33.3 ,23.3, 46.3,8,NA,NA,NA,NA
"Johnson County",13167,32.4 ,20.1, 50.5,4,NA,NA,NA,NA
"Brooks County",13027,32.3 ,22, 46,7,NA,NA,NA,NA
"Bibb County",13021,32.1 ,28.5, 36.1,60,stable,-0.2 ,-1.9, 1.5
"Laurens County",13175,31.8 ,25.9, 38.8,21,rising,2.8 ,0.8, 5.3
"Coffee County",13069,31.8 ,24.7, 40.3,14,stable,-0.1 ,-2.1, 2.0
"Wayne County",13305,31.2 ,23.3, 41,11,NA,NA,NA,NA
"Bleckley County",13023,30.4 ,19, 46.4,5,NA,NA,NA,NA
"Houston County",13153,30 ,26.2, 34.2,47,rising,2.5 ,0.9, 4.7
"Emanuel County",13107,30 ,21, 41.5,8,NA,NA,NA,NA
"Lamar County",13171,29.8 ,20.5, 42.1,7,NA,NA,NA,NA
"Thomas County",13275,29.6 ,23.7, 36.7,18,rising,2.3 ,0.2, 5.0
"Ben Hill County",13017,29.3 ,20, 41.9,7,NA,NA,NA,NA
"Dodge County",13091,29.2 ,20.8, 40.2,8,NA,NA,NA,NA
"Wilkinson County",13319,28.9 ,17, 47.1,4,NA,NA,NA,NA
"Upson County",13293,28.5 ,21.4, 37.6,11,NA,NA,NA,NA
"Dougherty County",13095,27.8 ,23.4, 33,28,stable,1.5 ,-0.4, 3.5
"Crisp County",13081,27.8 ,19.3, 39,7,NA,NA,NA,NA
"Butts County",13035,27.4 ,19.4, 37.8,8,NA,NA,NA,NA
"Crawford County",13079,27.2 ,16.3, 43.2,4,NA,NA,NA,NA
"Cook County",13075,27.2 ,18, 39.6,6,NA,NA,NA,NA
"Pulaski County",13235,27.1 ,16.6, 43,4,NA,NA,NA,NA
"Macon County",13193,26.9 ,16.3, 42.3,4,NA,NA,NA,NA
"Newton County",13217,26.8 ,22.5, 31.7,29,stable,-0.1 ,-2.3, 2.4
"Irwin County",13155,26.5 ,15.3, 43.4,3,NA,NA,NA,NA
"Appling County",13001,26.2 ,17.7, 37.7,6,NA,NA,NA,NA
"Washington County",13303,26.2 ,18.1, 37,7,NA,NA,NA,NA
"Pierce County",13229,26.1 ,17.7, 37.3,6,NA,NA,NA,NA
"Jeff Davis County",13161,26 ,15.3, 41,4,NA,NA,NA,NA
"Candler County",13043,25.7 ,14.9, 41.8,4,NA,NA,NA,NA
"Floyd County",13115,25.7 ,21.7, 30.3,30,stable,1.8 ,-0.1, 4.0
"Polk County",13233,25.3 ,19.1, 32.9,12,NA,NA,NA,NA
"Mitchell County",13205,25.3 ,17.5, 35.6,7,NA,NA,NA,NA
"Wilkes County",13317,25.1 ,14.3, 41.9,4,NA,NA,NA,NA
"Bacon County",13005,25.1 ,14.3, 41,3,NA,NA,NA,NA
"Clayton County",13063,25 ,21.9, 28.4,55,stable,2.3 ,-2.5, 12.2
"Grady County",13131,24.8 ,17.9, 33.8,9,NA,NA,NA,NA
"Elbert County",13105,24.4 ,17.2, 34.1,8,NA,NA,NA,NA
"Carroll County",13045,24.3 ,20.4, 28.7,29,stable,1.0 ,-1.1, 3.5
"Decatur County",13087,24.2 ,17.4, 32.8,9,NA,NA,NA,NA
"Walton County",13297,24.1 ,20.2, 28.6,27,stable,1.4 ,-0.9, 4.5
"Baldwin County",13009,23.8 ,18, 30.9,12,NA,NA,NA,NA
"Richmond County",13245,23.7 ,20.9, 26.9,53,stable,-0.9 ,-2.0, 0.2
"Jefferson County",13163,23.5 ,14.9, 35.7,5,NA,NA,NA,NA
"Tift County",13277,23.4 ,17.6, 30.5,11,NA,NA,NA,NA
"Telfair County",13271,23.4 ,14.2, 37.1,4,NA,NA,NA,NA
"Burke County",13033,23.1 ,15.5, 33,6,NA,NA,NA,NA
"Gordon County",13129,23.1 ,18, 29.1,15,NA,NA,NA,NA
"Lowndes County",13185,23 ,19.1, 27.5,25,stable,10.4 ,-2.7, 20.5
"Stephens County",13257,23 ,16.7, 31.2,9,NA,NA,NA,NA
"Tattnall County",13267,22.8 ,15.5, 32.6,6,NA,NA,NA,NA
"Henry County",13151,22.6 ,19.7, 25.9,46,falling,-2.6 ,-12.5, -0.2
"Chattooga County",13055,22.4 ,15.8, 31.2,8,NA,NA,NA,NA
"Dooly County",13093,22.2 ,13.1, 36.3,4,NA,NA,NA,NA
"Hart County",13147,22 ,15.9, 30,9,NA,NA,NA,NA
"Douglas County",13097,21.7 ,18, 25.9,27,stable,-0.6 ,-2.4, 1.5
"Monroe County",13207,21.2 ,15.2, 29.1,9,NA,NA,NA,NA
"Haralson County",13143,20.7 ,14.5, 28.8,8,NA,NA,NA,NA
"Lee County",13177,20.7 ,13.7, 29.9,6,NA,NA,NA,NA
"Oglethorpe County",13221,20.6 ,12.8, 32,4,NA,NA,NA,NA
"Bartow County",13015,20.5 ,16.9, 24.7,23,stable,-0.1 ,-1.9, 2.1
"McDuffie County",13189,20.5 ,13.5, 30.1,6,NA,NA,NA,NA
"Jones County",13169,20.3 ,14.2, 28.5,7,NA,NA,NA,NA
"Rockdale County",13247,20.3 ,16.5, 24.7,21,stable,2.0 ,-0.1, 4.8
"Sumter County",13261,19.8 ,13.7, 27.8,7,NA,NA,NA,NA
"Franklin County",13119,19.6 ,13.4, 28.1,6,NA,NA,NA,NA
"Jasper County",13159,19.5 ,11.1, 32,3,NA,NA,NA,NA
"Worth County",13321,19.5 ,13, 28.5,6,NA,NA,NA,NA
"Coweta County",13077,19.2 ,16.1, 22.7,29,stable,0.4 ,-1.2, 2.3
"Greene County",13133,18.8 ,12.5, 27.9,6,NA,NA,NA,NA
"Putnam County",13237,18.5 ,12.8, 26.6,7,NA,NA,NA,NA
"DeKalb County",13089,18.3 ,16.9, 19.7,138,stable,-0.5 ,-1.5, 0.7
"Murray County",13213,18.2 ,12.8, 25.2,8,NA,NA,NA,NA
"Camden County",13039,18.1 ,13.2, 24.3,10,NA,NA,NA,NA
"Morgan County",13211,18 ,11.6, 27,5,NA,NA,NA,NA
"Fulton County",13121,17.9 ,16.7, 19.1,177,stable,0.2 ,-1.6, 5.0
"Brantley County",13025,17.7 ,10.7, 27.8,4,NA,NA,NA,NA
"Pickens County",13227,17.7 ,12.5, 24.6,8,NA,NA,NA,NA
"Clarke County",13059,17.6 ,14.3, 21.5,20,stable,1.1 ,-1.4, 4.4
"Madison County",13195,17.5 ,11.9, 25.1,6,NA,NA,NA,NA
"Effingham County",13103,17.5 ,12.8, 23.3,10,NA,NA,NA,NA
"Gilmer County",13123,17.5 ,12.7, 23.9,9,NA,NA,NA,NA
"Muscogee County",13215,17.1 ,14.7, 19.8,37,stable,11.0 ,-1.8, 21.5
"Screven County",13251,17 ,9.4, 28.8,3,NA,NA,NA,NA
"Barrow County",13013,17 ,13.1, 21.7,14,NA,NA,NA,NA
"Fayette County",13113,16.8 ,14.1, 20.1,27,stable,-0.2 ,-2.2, 2.2
"Bulloch County",13031,16.7 ,12.5, 21.7,11,stable,-1.4 ,-3.6, 0.8
"Glynn County",13127,16.7 ,13.6, 20.3,22,rising,11.6 ,0.2, 23.6
"Chatham County",13051,16.6 ,14.7, 18.7,58,stable,-1.1 ,-2.4, 0.3
"Habersham County",13137,16.6 ,12.2, 22.1,10,stable,1.0 ,-1.6, 4.3
"Colquitt County",13071,16.2 ,11.7, 21.8,9,NA,NA,NA,NA
"Gwinnett County",13135,15.9 ,14.5, 17.3,114,stable,-0.6 ,-1.6, 0.5
"Whitfield County",13313,15.5 ,12.4, 19.2,17,stable,1.7 ,-0.3, 4.3
"Liberty County",13179,15.2 ,10.3, 21.5,7,NA,NA,NA,NA
"Jackson County",13157,15.1 ,11.4, 19.6,12,NA,NA,NA,NA
"Pike County",13231,15 ,8.5, 24.8,3,NA,NA,NA,NA
"Cobb County",13067,14.6 ,13.4, 15.9,108,falling,-1.6 ,-2.4, -0.7
"Paulding County",13223,14 ,11.2, 17.2,19,falling,-2.2 ,-3.9, -0.2
"Columbia County",13073,13.2 ,10.8, 16.1,21,stable,-2.1 ,-4.0, 0.1
"Troup County",13285,13.2 ,9.8, 17.5,11,NA,NA,NA,NA
"Union County",13291,13.1 ,8.8, 19.8,7,NA,NA,NA,NA
"Walker County",13295,12.8 ,9.7, 16.6,12,NA,NA,NA,NA
"Dawson County",13085,12.8 ,7.9, 19.7,5,NA,NA,NA,NA
"Fannin County",13111,12.1 ,7.8, 18.7,6,NA,NA,NA,NA
"Harris County",13145,12 ,7.6, 18.1,5,NA,NA,NA,NA
"Cherokee County",13057,11.8 ,9.9, 13.9,31,falling,-3.8 ,-9.5, -2.0
"Bryan County",13029,11.5 ,7, 17.7,4,NA,NA,NA,NA
"Forsyth County",13117,11.5 ,9.6, 13.7,26,stable,-2.6 ,-4.8, 0.5
"White County",13311,11.1 ,7.2, 16.9,5,NA,NA,NA,NA
"Hall County",13139,11.1 ,9.2, 13.2,26,falling,-3.4 ,-5.4, -1.4
"Rabun County",13241,11 ,6.3, 19.1,3,NA,NA,NA,NA
"Catoosa County",13047,10.6 ,7.8, 14.3,9,NA,NA,NA,NA
"Oconee County",13219,10.1 ,6.4, 15.3,5,NA,NA,NA,NA
"Atkinson County",13003,NA ,NA, NA,NA,NA,NA,NA,NA
"Baker County",13007,NA ,NA, NA,NA,NA,NA,NA,NA
"Banks County",13011,NA ,NA, NA,NA,NA,NA,NA,NA
"Calhoun County",13037,NA ,NA, NA,NA,NA,NA,NA,NA
"Chattahoochee County",13053,NA ,NA, NA,NA,NA,NA,NA,NA
"Clay County",13061,NA ,NA, NA,NA,NA,NA,NA,NA
"Clinch County",13065,NA ,NA, NA,NA,NA,NA,NA,NA
"Dade County",13083,NA ,NA, NA,NA,NA,NA,NA,NA
"Early County",13099,NA ,NA, NA,NA,NA,NA,NA,NA
"Echols County",13101,NA ,NA, NA,NA,NA,NA,NA,NA
"Evans County",13109,NA ,NA, NA,NA,NA,NA,NA,NA
"Glascock County",13125,NA ,NA, NA,NA,NA,NA,NA,NA
"Heard County",13149,NA ,NA, NA,NA,NA,NA,NA,NA
"Jenkins County",13165,NA ,NA, NA,NA,NA,NA,NA,NA
"Lanier County",13173,NA ,NA, NA,NA,NA,NA,NA,NA
"Lincoln County",13181,NA ,NA, NA,NA,NA,NA,NA,NA
"Long County",13183,NA ,NA, NA,NA,NA,NA,NA,NA
"Lumpkin County",13187,NA ,NA, NA,NA,NA,NA,NA,NA
"Marion County",13197,NA ,NA, NA,NA,NA,NA,NA,NA
"McIntosh County",13191,NA ,NA, NA,NA,NA,NA,NA,NA
"Montgomery County",13209,NA ,NA, NA,NA,NA,NA,NA,NA
"Quitman County",13239,NA ,NA, NA,NA,NA,NA,NA,NA
"Schley County",13249,NA ,NA, NA,NA,NA,NA,NA,NA
"Seminole County",13253,NA ,NA, NA,NA,NA,NA,NA,NA
"Stewart County",13259,NA ,NA, NA,NA,NA,NA,NA,NA
"Talbot County",13263,NA ,NA, NA,NA,NA,NA,NA,NA
"Taliaferro County",13265,NA ,NA, NA,NA,NA,NA,NA,NA
"Towns County",13281,NA ,NA, NA,NA,NA,NA,NA,NA
"Treutlen County",13283,NA ,NA, NA,NA,NA,NA,NA,NA
"Twiggs County",13289,NA ,NA, NA,NA,NA,NA,NA,NA
"Warren County",13301,NA ,NA, NA,NA,NA,NA,NA,NA
"Webster County",13307,NA ,NA, NA,NA,NA,NA,NA,NA
"Wheeler County",13309,NA ,NA, NA,NA,NA,NA,NA,NA
"Wilcox County",13315,NA ,NA, NA,NA,NA,NA,NA,NA

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 3/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Death data provided by the National Vital Statistics System [ https://www.cdc.gov/nchs/nvss/index.htm ]. 


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

