Chronic Liver Disease & Cirrhosis Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,11.6 ,11.3, 11.9,1413,rising,7.5 ,4.9, 9.2
"United States",00000,12.8 ,12.7, 12.8,50043,rising,6.8 ,4.9, 8.2
"Long County",13183,25.6 ,15.7, 39.5,4,NA,NA,NA,NA
"Lamar County",13171,25 ,16.5, 36.6,6,NA,NA,NA,NA
"Butts County",13035,23.4 ,16.2, 33,7,NA,NA,NA,NA
"Stephens County",13257,23 ,16.2, 31.8,8,NA,NA,NA,NA
"Murray County",13213,22.8 ,16.8, 30.2,10,NA,NA,NA,NA
"Emanuel County",13107,22.7 ,15.2, 32.7,6,NA,NA,NA,NA
"Towns County",13281,22.3 ,11.5, 39.6,4,NA,NA,NA,NA
"Berrien County",13019,22.2 ,14.2, 33.4,5,NA,NA,NA,NA
"Madison County",13195,22.1 ,15.8, 30.2,9,NA,NA,NA,NA
"Gordon County",13129,21.9 ,17.2, 27.5,15,NA,NA,NA,NA
"Pike County",13231,21.9 ,14.2, 32.4,5,NA,NA,NA,NA
"Heard County",13149,21.7 ,12, 36.5,3,NA,NA,NA,NA
"Brantley County",13025,21.6 ,14.1, 32.1,5,NA,NA,NA,NA
"McIntosh County",13191,21.5 ,11.6, 37.4,4,NA,NA,NA,NA
"White County",13311,21.3 ,15.4, 29.1,9,NA,NA,NA,NA
"Dawson County",13085,21.2 ,14.2, 30.5,7,NA,NA,NA,NA
"Ben Hill County",13017,21.1 ,13.1, 32.5,5,NA,NA,NA,NA
"Franklin County",13119,20.6 ,13.5, 30.4,6,NA,NA,NA,NA
"Ware County",13299,20.4 ,14.7, 27.7,9,NA,NA,NA,NA
"Fannin County",13111,20.2 ,13, 30.2,7,NA,NA,NA,NA
"Spalding County",13255,20 ,15.8, 25,17,stable,6.9 ,-0.4, 18.2
"Elbert County",13105,19.4 ,12.3, 29.4,5,NA,NA,NA,NA
"Rabun County",13241,19.3 ,11.7, 30.7,5,NA,NA,NA,NA
"Walker County",13295,19.3 ,15.2, 24.2,17,rising,4.8 ,3.1, 9.9
"Decatur County",13087,19.2 ,13, 27.5,7,NA,NA,NA,NA
"Bartow County",13015,19.1 ,15.7, 23,24,rising,4.0 ,2.2, 6.3
"Banks County",13011,19.1 ,11.5, 29.9,4,NA,NA,NA,NA
"Upson County",13293,18.7 ,12.6, 26.9,7,NA,NA,NA,NA
"Barrow County",13013,18.7 ,14.8, 23.3,17,NA,NA,NA,NA
"Sumter County",13261,18.4 ,11.9, 27,6,NA,NA,NA,NA
"Bryan County",13029,18.1 ,12.6, 25,8,NA,NA,NA,NA
"Mitchell County",13205,17.9 ,11.2, 27.3,5,NA,NA,NA,NA
"Jeff Davis County",13161,17.4 ,9.8, 29,3,NA,NA,NA,NA
"Meriwether County",13199,17.2 ,10.5, 26.7,5,NA,NA,NA,NA
"McDuffie County",13189,17.2 ,10.9, 26,5,NA,NA,NA,NA
"Chattooga County",13055,17.1 ,11.1, 25.3,5,NA,NA,NA,NA
