Pneumonia Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,11.4 ,11.1, 11.7,1265,falling,-4.4 ,-4.7, -4.1
"United States",00000,11 ,10.9, 11,44369,falling,-3.7 ,-4.1, -3.3
"Stewart County",13259,63.6 ,37.9, 103,4,NA,NA,NA,NA
"Pike County",13231,40.1 ,28.6, 54.9,8,NA,NA,NA,NA
"Crisp County",13081,37.9 ,28, 50.6,10,NA,NA,NA,NA
"Upson County",13293,36.2 ,27.8, 46.5,13,NA,NA,NA,NA
"Macon County",13193,28.4 ,17.3, 44.3,4,NA,NA,NA,NA
"Wilcox County",13315,27.2 ,16.3, 44,4,NA,NA,NA,NA
"Spalding County",13255,26.9 ,22.1, 32.5,23,falling,-9.7 ,-21.5, -4.3
"Dooly County",13093,26.7 ,16.5, 41.8,4,NA,NA,NA,NA
"Carroll County",13045,26.4 ,22.4, 31,32,rising,4.6 ,2.0, 10.3
"Coffee County",13069,26.2 ,19.7, 34.2,11,NA,NA,NA,NA
"Ben Hill County",13017,25.8 ,16.9, 38,6,NA,NA,NA,NA
"Haralson County",13143,24.2 ,17.2, 33.2,8,NA,NA,NA,NA
"Washington County",13303,22.9 ,15.2, 33.5,6,NA,NA,NA,NA
"Ware County",13299,21 ,15.6, 27.9,10,NA,NA,NA,NA
"Lamar County",13171,20.5 ,12.9, 31.2,5,NA,NA,NA,NA
"Elbert County",13105,19.2 ,12.7, 28.4,6,NA,NA,NA,NA
"Decatur County",13087,19.2 ,13.1, 27.3,7,NA,NA,NA,NA
"Stephens County",13257,18.9 ,13.2, 26.6,7,NA,NA,NA,NA
"Wilkes County",13317,18.8 ,10.7, 32.4,3,NA,NA,NA,NA
"Wayne County",13305,18.6 ,12.7, 26.5,6,NA,NA,NA,NA
"Polk County",13233,18.5 ,13.3, 25.2,9,NA,NA,NA,NA
"Jefferson County",13163,18.5 ,10.6, 30.3,3,NA,NA,NA,NA
"Screven County",13251,18.4 ,11, 29.8,4,NA,NA,NA,NA
"Monroe County",13207,18.3 ,12.6, 25.9,7,NA,NA,NA,NA
"Pierce County",13229,18 ,11.1, 27.9,4,NA,NA,NA,NA
"Brantley County",13025,17.2 ,10.5, 27,4,NA,NA,NA,NA
"Peach County",13225,17.2 ,11.3, 25.2,6,NA,NA,NA,NA
"Tattnall County",13267,17.1 ,10.7, 26.2,4,NA,NA,NA,NA
"Chattooga County",13055,16.9 ,11.1, 25,5,NA,NA,NA,NA
