Septicemia Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,15.4 ,15, 15.7,1761,stable,-0.6 ,-1.2, 1.3
"United States",00000,10 ,10, 10,40547,falling,-0.7 ,-0.9, -0.5
"Bacon County",13005,33.2 ,19.9, 52,4,NA,NA,NA,NA
"Crisp County",13081,33.1 ,23.5, 45.6,9,NA,NA,NA,NA
"Jefferson County",13163,31.2 ,20.9, 45.1,6,NA,NA,NA,NA
"Macon County",13193,30.7 ,19.2, 46.9,5,NA,NA,NA,NA
"Marion County",13197,29.8 ,16.6, 50.8,3,NA,NA,NA,NA
"Meriwether County",13199,28.7 ,20.1, 40,8,NA,NA,NA,NA
"Troup County",13285,27.3 ,22.4, 33,23,NA,NA,NA,NA
"Haralson County",13143,27.1 ,19.7, 36.5,9,NA,NA,NA,NA
"Carroll County",13045,26.9 ,22.9, 31.4,33,rising,2.0 ,0.1, 4.5
"Dooly County",13093,26.9 ,16.5, 42.3,4,NA,NA,NA,NA
"Wilcox County",13315,26.8 ,15.4, 44.4,3,NA,NA,NA,NA
"Richmond County",13245,26.3 ,23.2, 29.6,57,falling,-1.5 ,-3.0, -0.1
"Appling County",13001,26.2 ,17.4, 37.9,6,NA,NA,NA,NA
"Lamar County",13171,26 ,17.1, 38.2,6,NA,NA,NA,NA
"Upson County",13293,24.8 ,18.3, 33.2,10,NA,NA,NA,NA
"Liberty County",13179,23.8 ,17.5, 31.5,11,NA,NA,NA,NA
"Johnson County",13167,23.8 ,13.5, 40.1,3,NA,NA,NA,NA
"Colquitt County",13071,23.6 ,18, 30.5,12,NA,NA,NA,NA
"Baldwin County",13009,23.2 ,17.5, 30.2,12,NA,NA,NA,NA
"Washington County",13303,23.1 ,15.3, 33.9,6,NA,NA,NA,NA
"Muscogee County",13215,22.8 ,20, 25.8,51,stable,3.1 ,-0.3, 14.4
"Bleckley County",13023,22.7 ,13.3, 36.8,4,NA,NA,NA,NA
"Spalding County",13255,22.3 ,17.9, 27.4,19,NA,NA,NA,NA
"Toombs County",13279,22.3 ,15.5, 31.2,7,NA,NA,NA,NA
"Bibb County",13021,22.1 ,19.1, 25.4,42,stable,-0.9 ,-2.8, 1.0
"Houston County",13153,22 ,18.8, 25.5,36,stable,1.0 ,-0.6, 3.1
"Jeff Davis County",13161,21.9 ,13, 34.8,4,NA,NA,NA,NA
"Butts County",13035,21.8 ,15, 30.8,7,NA,NA,NA,NA
"Brantley County",13025,21.5 ,13.4, 33,5,NA,NA,NA,NA
"Screven County",13251,21.4 ,12.9, 33.8,4,NA,NA,NA,NA
"Clayton County",13063,21.3 ,18.5, 24.5,47,falling,-9.9 ,-14.1, -6.8
"Emanuel County",13107,21 ,14, 30.5,6,NA,NA,NA,NA
"Wayne County",13305,20.9 ,14.7, 29,8,NA,NA,NA,NA
"Chattooga County",13055,20.8 ,14.1, 29.7,7,NA,NA,NA,NA
"Tift County",13277,20.6 ,15.1, 27.5,9,NA,NA,NA,NA
"Coffee County",13069,20.6 ,15, 27.5,9,NA,NA,NA,NA
"Mitchell County",13205,20.1 ,13.1, 29.8,5,NA,NA,NA,NA
"Sumter County",13261,20 ,13.7, 28.4,7,NA,NA,NA,NA
"Pike County",13231,20 ,12.4, 30.7,4,NA,NA,NA,NA
"Henry County",13151,19.8 ,17.1, 22.8,43,stable,0.0 ,-1.5, 1.9
"Telfair County",13271,19.7 ,11.4, 32.7,3,NA,NA,NA,NA
"Brooks County",13027,19.7 ,12.5, 30.3,5,NA,NA,NA,NA
"Burke County",13033,19.5 ,12.7, 28.8,6,NA,NA,NA,NA
"Elbert County",13105,19.4 ,12.6, 29,6,NA,NA,NA,NA
"Ware County",13299,19.4 ,13.9, 26.4,9,NA,NA,NA,NA
"McIntosh County",13191,19.3 ,9.7, 35.2,3,NA,NA,NA,NA
"Thomas County",13275,19.3 ,14.5, 25.4,11,stable,-0.7 ,-3.7, 2.2
"Jasper County",13159,19.2 ,11.6, 30.6,4,NA,NA,NA,NA
"Pierce County",13229,18.7 ,11.6, 28.7,4,NA,NA,NA,NA
"Cook County",13075,18.6 ,10.9, 29.8,4,NA,NA,NA,NA
"Dougherty County",13095,18.3 ,14.7, 22.6,18,falling,-2.0 ,-3.9, -0.2
