Suicide & Self-Inflicted Injury Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Georgia",13000,14.5 ,14.2, 14.9,1589,rising,2.3 ,1.8, 4.3
"United States",00000,13.9 ,13.9, 14,47896,stable,0.3 ,-0.7, 1.0
"Heard County",13149,32.2 ,18.6, 51.7,3,NA,NA,NA,NA
"Worth County",13321,30.5 ,20.6, 43.5,7,NA,NA,NA,NA
"McIntosh County",13191,29.9 ,16.1, 50.5,3,NA,NA,NA,NA
"Gilmer County",13123,29.8 ,21.4, 40.3,11,NA,NA,NA,NA
"Crawford County",13079,28.2 ,15.6, 46.7,3,NA,NA,NA,NA
"White County",13311,28.2 ,19.6, 39.1,8,NA,NA,NA,NA
"Lumpkin County",13187,27.5 ,19.7, 37.4,9,NA,NA,NA,NA
"Putnam County",13237,27.5 ,17.7, 40.5,6,NA,NA,NA,NA
"Pickens County",13227,26.4 ,18.8, 36.2,9,NA,NA,NA,NA
"Dawson County",13085,26.2 ,18, 36.9,7,NA,NA,NA,NA
"Jasper County",13159,25.5 ,15, 40.4,4,NA,NA,NA,NA
"Butts County",13035,24.9 ,17, 35.2,7,NA,NA,NA,NA
"Madison County",13195,24.9 ,17.3, 34.6,7,NA,NA,NA,NA
"Charlton County",13049,24.4 ,14, 39.8,3,NA,NA,NA,NA
"Haralson County",13143,24.1 ,16.7, 33.7,7,NA,NA,NA,NA
"Monroe County",13207,24.1 ,16.5, 33.8,7,NA,NA,NA,NA
"Stephens County",13257,23.6 ,16, 33.6,7,NA,NA,NA,NA
"Lee County",13177,23.2 ,16.3, 32.1,8,NA,NA,NA,NA
"Fannin County",13111,23.1 ,14.8, 34.3,6,NA,NA,NA,NA
"Chattooga County",13055,22.9 ,15.2, 33.1,6,NA,NA,NA,NA
