Population (Age 18 to 39) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
"Georgia",13000,30.0,3245153,"41 of 52"
"United States",00000,29.5,98058393,"N/A"
"Chattahoochee County",13053,64.9,5959,"3,143"
"Clarke County",13059,47.2,61051,"3,129"
"Stewart County",13259,43.9,2183,"3,119"
"Bulloch County",13031,42.0,34179,"3,103"
"Liberty County",13179,40.2,26843,"3,087"
"Lowndes County",13185,36.8,43768,"3,042"
"Lumpkin County",13187,36.0,12226,"3,020"
"Baldwin County",13009,35.4,15480,"2,999"
"Calhoun County",13037,35.1,1938,"2,989"
"Wheeler County",13309,34.9,2591,"2,977"
"Fulton County",13121,34.6,369615,"2,966"
"Camden County",13039,33.8,18918,"2,936"
"Richmond County",13245,33.4,68877,"2,923"
"Chatham County",13051,33.0,98486,"2,902"
"Webster County",13307,33.0,776,"2,902"
"Tattnall County",13267,32.8,7948,"2,897"
"Charlton County",13049,32.6,4140,"2,888"
"Carroll County",13045,32.5,39650,"2,883"
"Bleckley County",13023,32.3,4012,"2,869"
"DeKalb County",13089,32.3,246347,"2,869"
"Muscogee County",13215,32.3,65964,"2,869"
"Clayton County",13063,31.7,94830,"2,828"
"Lanier County",13173,31.7,3195,"2,828"
"Butts County",13035,31.3,8152,"2,793"
"Macon County",13193,31.3,3741,"2,793"
"Montgomery County",13209,31.3,2715,"2,793"
"Cobb County",13067,30.9,237706,"2,755"
"Peach County",13225,30.9,8722,"2,755"
"Lamar County",13171,30.7,5860,"2,736"
"Long County",13183,30.3,5307,"2,686"
"Sumter County",13261,30.3,8854,"2,686"
"Floyd County",13115,30.2,29913,"2,675"
"Bibb County",13021,30.0,46904,"2,645"
"Echols County",13101,30.0,1110,"2,645"
"Dougherty County",13095,29.9,25078,"2,633"
"Houston County",13153,29.8,49728,"2,610"
"Coffee County",13069,29.5,12750,"2,567"
"Barrow County",13013,29.4,25559,"2,543"
"Lee County",13177,29.2,9733,"2,501"
"Newton County",13217,29.2,33681,"2,501"
"Paulding County",13223,29.2,50849,"2,501"
"Whitfield County",13313,29.2,30123,"2,501"
"Bryan County",13029,29.1,13565,"2,483"
"Gwinnett County",13135,29.1,281781,"2,483"
"Bartow County",13015,28.9,32115,"2,441"
"Atkinson County",13003,28.8,2378,"2,421"
"Troup County",13285,28.8,20127,"2,421"
"Wilcox County",13315,28.8,2534,"2,421"
"Colquitt County",13071,28.7,13175,"2,407"
"Douglas County",13097,28.7,41960,"2,407"
"Henry County",13151,28.7,70417,"2,407"
"Gordon County",13129,28.5,16640,"2,370"
"Habersham County",13137,28.5,13398,"2,370"
"Tift County",13277,28.5,11778,"2,370"
"Turner County",13287,28.5,2544,"2,370"
"Dodge County",13091,28.4,5650,"2,349"
"Effingham County",13103,28.4,19098,"2,349"
"Columbia County",13073,28.2,44985,"2,310"
"Hall County",13139,28.2,58718,"2,310"
"Coweta County",13077,27.9,41808,"2,245"
"Telfair County",13271,27.9,3395,"2,245"
"Cook County",13075,27.8,4834,"2,214"
"Dade County",13083,27.8,4497,"2,214"
"Ware County",13299,27.8,10000,"2,214"
"Evans County",13109,27.7,2976,"2,190"
"Jackson County",13157,27.7,22301,"2,190"
"Franklin County",13119,27.6,6571,"2,167"
"Haralson County",13143,27.5,8434,"2,138"
"Mitchell County",13205,27.4,5870,"2,110"
"Spalding County",13255,27.4,18665,"2,110"
"Toombs County",13279,27.4,7376,"2,110"
"Wayne County",13305,27.3,8334,"2,077"
"Decatur County",13087,27.2,7927,"2,053"
"Rockdale County",13247,27.2,25688,"2,053"
"Treutlen County",13283,27.2,1737,"2,053"
"Ben Hill County",13017,27.0,4622,"2,002"
"Burke County",13033,27.0,6606,"2,002"
"Washington County",13303,27.0,5369,"2,002"
"Dawson County",13085,26.9,7724,"1,965"
"Madison County",13195,26.8,8290,"1,935"
"Murray County",13213,26.8,10801,"1,935"
"Cherokee County",13057,26.7,73253,"1,897"
"Stephens County",13257,26.7,7180,"1,897"
"Chattooga County",13055,26.6,6640,"1,860"
"Clinch County",13065,26.6,1790,"1,860"
"Pike County",13231,26.6,5191,"1,860"
"Berrien County",13019,26.4,4824,"1,789"
"Pulaski County",13235,26.4,2611,"1,789"
"Brooks County",13027,26.3,4275,"1,756"
"Monroe County",13207,26.3,7594,"1,756"
"Polk County",13233,26.3,11411,"1,756"
"Brantley County",13025,26.2,4758,"1,709"
"Thomas County",13275,26.2,11987,"1,709"
"Emanuel County",13107,26.1,5993,"1,666"
"Taylor County",13269,26.1,2030,"1,666"
"Walton County",13297,26.1,26240,"1,666"
"Catoosa County",13047,26.0,17750,"1,631"
"Grady County",13131,26.0,6762,"1,631"
"Irwin County",13155,26.0,2443,"1,631"
"Jefferson County",13163,26.0,4019,"1,631"
"Walker County",13295,25.9,17699,"1,595"
"McDuffie County",13189,25.8,5603,"1,560"
"Appling County",13001,25.7,4729,"1,522"
"Banks County",13011,25.7,4815,"1,522"
"Oglethorpe County",13221,25.6,3897,"1,490"
"Upson County",13293,25.6,7126,"1,490"
"Crisp County",13081,25.5,5096,"1,454"
"Dooly County",13093,25.5,2817,"1,454"
"Jenkins County",13165,25.5,2210,"1,454"
"Johnson County",13167,25.3,2322,"1,381"
"Laurens County",13175,25.3,12535,"1,381"
"Randolph County",13243,25.2,1579,"1,354"
"Glascock County",13125,25.1,730,"1,317"
"Heard County",13149,25.1,2918,"1,317"
"Marion County",13197,25.0,1867,"1,280"
"Pierce County",13229,25.0,4995,"1,280"
"Forsyth County",13117,24.9,64786,"1,229"
"Screven County",13251,24.9,3500,"1,229"
"White County",13311,24.9,7071,"1,229"
"Wilkinson County",13319,24.9,2187,"1,229"
"Bacon County",13005,24.8,2765,"1,184"
