Population (Age 40 and over) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 40 And Over),Rank within US (of 3143 counties)
"Georgia",13000,46.5,5035365,"42 of 52"
"United States",00000,48.3,160683909,"N/A"
"Chattahoochee County",13053,15.9,1463,"3,143"
"Liberty County",13179,32.2,21489,"3,126"
"Clarke County",13059,35.8,46280,"3,111"
"Bulloch County",13031,37.8,30788,"3,082"
"Lowndes County",13185,38.6,46005,"3,062"
"Clayton County",13063,41.0,122452,"2,986"
"Bryan County",13029,41.7,19460,"2,950"
"Long County",13183,42.0,7348,"2,939"
"Echols County",13101,42.1,1561,"2,934"
"Camden County",13039,42.2,23637,"2,928"
"Muscogee County",13215,42.7,87292,"2,909"
"Richmond County",13245,43.5,89708,"2,858"
"Carroll County",13045,43.7,53413,"2,842"
"Fulton County",13121,44.3,473290,"2,805"
"Stewart County",13259,44.3,2204,"2,805"
"Gwinnett County",13135,44.5,429969,"2,794"
"Houston County",13153,44.6,74395,"2,788"
"DeKalb County",13089,44.7,340419,"2,779"
"Lee County",13177,44.9,14977,"2,771"
"Effingham County",13103,45.0,30256,"2,763"
"Paulding County",13223,45.1,78643,"2,750"
"Barrow County",13013,45.2,39327,"2,742"
"Newton County",13217,45.3,52280,"2,732"
"Colquitt County",13071,45.5,20907,"2,713"
"Whitfield County",13313,45.5,46944,"2,713"
"Baldwin County",13009,45.6,19915,"2,697"
"Bibb County",13021,45.6,71352,"2,697"
"Lanier County",13173,45.6,4599,"2,697"
"Douglas County",13097,45.7,66785,"2,687"
"Atkinson County",13003,45.8,3784,"2,681"
"Coffee County",13069,45.8,19789,"2,681"
"Chatham County",13051,46.0,137247,"2,661"
"Dougherty County",13095,46.0,38560,"2,661"
"Turner County",13287,46.0,4102,"2,661"
"Henry County",13151,46.1,113051,"2,648"
"Cobb County",13067,46.2,355364,"2,633"
"Toombs County",13279,46.2,12443,"2,633"
"Tift County",13277,46.4,19169,"2,610"
"Evans County",13109,46.6,5009,"2,582"
"Troup County",13285,46.6,32540,"2,582"
"Columbia County",13073,46.7,74623,"2,571"
"Cook County",13075,46.8,8129,"2,556"
"Lumpkin County",13187,46.8,15896,"2,556"
"Floyd County",13115,47.0,46478,"2,534"
"Tattnall County",13267,47.0,11374,"2,534"
"Jackson County",13157,47.1,37969,"2,522"
"Sumter County",13261,47.1,13751,"2,522"
"Ware County",13299,47.3,17007,"2,501"
"Bartow County",13015,47.5,52819,"2,477"
"Bleckley County",13023,47.7,5925,"2,451"
"Charlton County",13049,47.7,6069,"2,451"
"Hall County",13139,47.7,99314,"2,451"
"Lamar County",13171,47.7,9104,"2,451"
"Peach County",13225,47.9,13528,"2,429"
"Burke County",13033,48.1,11754,"2,398"
"Gordon County",13129,48.1,28074,"2,398"
"Randolph County",13243,48.1,3018,"2,398"
"Butts County",13035,48.2,12572,"2,375"
"Montgomery County",13209,48.2,4183,"2,375"
"Polk County",13233,48.3,20960,"2,354"
"Ben Hill County",13017,48.4,8287,"2,334"
"Clinch County",13065,48.4,3253,"2,334"
"Decatur County",13087,48.4,14101,"2,334"
"Wayne County",13305,48.4,14759,"2,334"
"Coweta County",13077,48.7,73130,"2,283"
"Haralson County",13143,48.7,14963,"2,283"
"Rockdale County",13247,48.8,46025,"2,265"
"Emanuel County",13107,48.9,11218,"2,240"
"Forsyth County",13117,48.9,127089,"2,240"
"Calhoun County",13037,49.2,2721,"2,189"
"McDuffie County",13189,49.2,10660,"2,189"
"Spalding County",13255,49.2,33594,"2,189"
"Grady County",13131,49.3,12843,"2,161"
"Murray County",13213,49.3,19862,"2,161"
"Telfair County",13271,49.3,6001,"2,161"
"Wheeler County",13309,49.3,3664,"2,161"
"Habersham County",13137,49.6,23263,"2,089"
"Treutlen County",13283,49.6,3165,"2,089"
"Appling County",13001,49.7,9163,"2,071"
"Bacon County",13005,49.7,5535,"2,071"
"Walton County",13297,49.7,49865,"2,071"
"Berrien County",13019,49.8,9086,"2,045"
"Madison County",13195,49.8,15400,"2,045"
"Mitchell County",13205,49.8,10668,"2,045"
"Laurens County",13175,49.9,24753,"2,023"
"Macon County",13193,49.9,5964,"2,023"
"Pike County",13231,49.9,9754,"2,023"
"Thomas County",13275,49.9,22816,"2,023"
"Cherokee County",13057,50.0,137349,"2,012"
"Franklin County",13119,50.3,11981,"1,935"
"Pierce County",13229,50.3,10052,"1,935"
"Jeff Davis County",13161,50.6,7512,"1,867"
"Oconee County",13219,50.7,21697,"1,843"
"Stephens County",13257,51.1,13724,"1,751"
"Crisp County",13081,51.2,10230,"1,733"
"Jefferson County",13163,51.3,7937,"1,696"
"Upson County",13293,51.3,14304,"1,696"
"Brantley County",13025,51.4,9348,"1,669"
"Early County",13099,51.4,5489,"1,669"
"Washington County",13303,51.4,10229,"1,669"
"Irwin County",13155,51.5,4833,"1,654"
"Heard County",13149,51.6,5993,"1,629"
"Catoosa County",13047,51.7,35307,"1,591"
"Chattooga County",13055,51.9,12953,"1,542"
"Schley County",13249,52.0,2359,"1,517"
"Candler County",13043,52.2,5727,"1,468"
"Jones County",13169,52.3,14929,"1,441"
"Wilcox County",13315,52.5,4610,"1,392"
"Brooks County",13027,52.6,8558,"1,368"
"Dade County",13083,52.6,8521,"1,368"
"Dodge County",13091,52.6,10474,"1,368"
"Walker County",13295,52.7,36102,"1,343"
"Monroe County",13207,52.8,15258,"1,309"
"Morgan County",13211,52.8,10885,"1,309"
"Oglethorpe County",13221,52.8,8038,"1,309"
"Terrell County",13273,52.8,4725,"1,309"
"Banks County",13011,52.9,9925,"1,283"
"Dawson County",13085,53.0,15227,"1,255"
"Webster County",13307,53.0,1244,"1,255"
"Jasper County",13159,53.3,8186,"1,189"
"Miller County",13201,53.4,3139,"1,162"
"Glascock County",13125,53.5,1557,"1,137"
"Wilkinson County",13319,53.5,4705,"1,137"
"Elbert County",13105,53.8,10608,"1,078"
"Taylor County",13269,53.9,4200,"1,056"
"Fayette County",13113,54.1,65297,"1,011"
"Glynn County",13127,54.1,45991,"1,011"
"Harris County",13145,54.1,19194,"1,011"
"Worth County",13321,54.1,11127,"1,011"
"Screven County",13251,54.2,7613,"977"
"Meriwether County",13199,54.5,11306,"912"
"Hart County",13147,54.7,14480,"870"
"Marion County",13197,54.7,4090,"870"
