Education (At least bachelor's degree) for Georgia by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
"Georgia",13000,34.2,2480907,"25 of 52"
"United States",00000,35.0,79954302,"N/A"
"Jenkins County",13165,7.8,515,"3,131"
"Hancock County",13141,8.4,552,"3,122"
"Quitman County",13239,9.0,141,"3,115"
"Johnson County",13167,9.1,623,"3,113"
"Atkinson County",13003,9.8,537,"3,103"
"Appling County",13001,9.9,1222,"3,100"
"Taliaferro County",13265,9.9,128,"3,100"
"Telfair County",13271,10.1,846,"3,094"
"Chattooga County",13055,10.7,1880,"3,076"
"Brantley County",13025,10.9,1375,"3,064"
"Twiggs County",13289,10.9,654,"3,064"
"Bacon County",13005,11.0,799,"3,054"
"Macon County",13193,11.0,956,"3,054"
"Turner County",13287,11.1,677,"3,049"
"Jefferson County",13163,11.2,1178,"3,042"
"Webster County",13307,11.3,196,"3,037"
"Worth County",13321,11.3,1638,"3,037"
"Charlton County",13049,11.4,983,"3,029"
"Heard County",13149,11.4,907,"3,029"
"Jeff Davis County",13161,11.5,1102,"3,021"
"Terrell County",13273,11.5,712,"3,021"
"Pulaski County",13235,12.0,914,"2,989"
"Ben Hill County",13017,12.1,1386,"2,983"
"Calhoun County",13037,12.1,511,"2,983"
"Wheeler County",13309,12.2,630,"2,976"
"Stewart County",13259,12.3,488,"2,970"
"Warren County",13301,12.7,474,"2,929"
"Wilkinson County",13319,12.7,781,"2,929"
"Berrien County",13019,12.8,1617,"2,914"
"Emanuel County",13107,12.8,1966,"2,914"
"Long County",13183,12.8,1409,"2,914"
"Treutlen County",13283,12.8,538,"2,914"
"Mitchell County",13205,12.9,1863,"2,911"
"Clinch County",13065,13.0,607,"2,904"
"Meriwether County",13199,13.0,1924,"2,904"
"Dooly County",13093,13.4,1143,"2,867"
"Coffee County",13069,13.5,3883,"2,856"
"Brooks County",13027,13.6,1557,"2,851"
"Candler County",13043,13.6,992,"2,851"
"Marion County",13197,13.6,744,"2,851"
"Murray County",13213,13.7,3705,"2,830"
