Income (Median household income) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Georgia",13000,"74,664","29 of 52"
"United States",00000,"78,538","N/A"
"Randolph County",13243,"25,425","3,140"
"Hancock County",13141,"33,182","3,120"
"Stewart County",13259,"35,000","3,110"
"Quitman County",13239,"36,838","3,093"
"Jenkins County",13165,"36,906","3,091"
"Macon County",13193,"37,177","3,089"
"Atkinson County",13003,"38,438","3,072"
"Ben Hill County",13017,"39,081","3,063"
"Turner County",13287,"39,565","3,057"
"Webster County",13307,"40,764","3,039"
"Jeff Davis County",13161,"40,879","3,037"
"Taylor County",13269,"41,743","3,014"
"Sumter County",13261,"41,877","3,008"
"Crisp County",13081,"42,745","2,983"
"Appling County",13001,"43,728","2,959"
"Treutlen County",13283,"43,750","2,957"
"Terrell County",13273,"43,812","2,956"
"Washington County",13303,"44,009","2,948"
"Lanier County",13173,"44,361","2,937"
"Baker County",13007,"44,405","2,936"
"Ware County",13299,"44,833","2,916"
"Telfair County",13271,"44,948","2,914"
"Talbot County",13263,"45,098","2,908"
"Wheeler County",13309,"45,262","2,902"
"Jefferson County",13163,"46,561","2,861"
"Wilkinson County",13319,"46,673","2,859"
"Warren County",13301,"46,776","2,855"
"Dougherty County",13095,"46,784","2,854"
"Brooks County",13027,"47,656","2,810"
"Pulaski County",13235,"47,688","2,808"
"Chattooga County",13055,"47,785","2,803"
"Brantley County",13025,"47,801","2,801"
"Taliaferro County",13265,"48,036","2,791"
"Wilcox County",13315,"48,036","2,791"
"Charlton County",13049,"48,534","2,763"
"Clay County",13061,"48,715","2,755"
"Seminole County",13253,"49,559","2,714"
"Wayne County",13305,"49,562","2,713"
"Colquitt County",13071,"49,691","2,704"
"Laurens County",13175,"49,705","2,703"
"Elbert County",13105,"49,727","2,702"
"Emanuel County",13107,"50,053","2,682"
"Cook County",13075,"50,133","2,678"
"Dodge County",13091,"50,152","2,677"
"Coffee County",13069,"50,175","2,674"
"Bacon County",13005,"50,310","2,666"
"McIntosh County",13191,"50,348","2,663"
"Berrien County",13019,"50,414","2,658"
"Candler County",13043,"50,431","2,655"
"Marion County",13197,"50,484","2,648"
"Decatur County",13087,"50,485","2,647"
"Lincoln County",13181,"50,688","2,636"
"Burke County",13033,"50,739","2,632"
"Bibb County",13021,"50,747","2,629"
"Upson County",13293,"50,904","2,620"
"Montgomery County",13209,"51,188","2,604"
"Mitchell County",13205,"51,908","2,565"
"Franklin County",13119,"52,264","2,537"
"Stephens County",13257,"52,264","2,537"
"Clarke County",13059,"52,267","2,536"
"Tattnall County",13267,"52,351","2,527"
"Wilkes County",13317,"52,542","2,520"
"Bleckley County",13023,"53,005","2,491"
"Screven County",13251,"53,017","2,490"
"Tift County",13277,"53,165","2,478"
"Richmond County",13245,"53,197","2,476"
"Early County",13099,"53,750","2,441"
"Evans County",13109,"53,908","2,427"
"Irwin County",13155,"53,915","2,426"
"McDuffie County",13189,"54,058","2,420"
"Toombs County",13279,"54,130","2,409"
"Johnson County",13167,"54,183","2,407"
"Grady County",13131,"54,312","2,395"
"Troup County",13285,"54,905","2,360"
"Glascock County",13125,"55,250","2,340"
"Polk County",13233,"55,308","2,335"
"Baldwin County",13009,"55,413","2,321"
"Twiggs County",13289,"55,439","2,314"
"Clinch County",13065,"55,549","2,302"
"Calhoun County",13037,"55,714","2,291"
"Lowndes County",13185,"55,887","2,279"
"Walker County",13295,"55,887","2,279"
"Meriwether County",13199,"56,458","2,241"
"Dooly County",13093,"56,545","2,233"
"Muscogee County",13215,"56,622","2,225"
"Pierce County",13229,"56,691","2,213"
"Bulloch County",13031,"56,832","2,200"
"Worth County",13321,"57,201","2,172"
"Hart County",13147,"57,241","2,168"
"Fannin County",13111,"58,073","2,105"
"Towns County",13281,"58,400","2,074"
"Miller County",13201,"58,407","2,073"
