Non-English Language (Language isolation) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 14+, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),Households (language Isolation),Rank within US (of 3142 counties)
"United States",00000,4.2,5381336,"N/A"
"Georgia",13000,2.8,111508,"35 of 51"
"Gwinnett County",13135,9.5,30548,"3,063"
"Atkinson County",13003,7.0,222,"2,996"
"Echols County",13101,6.8,82,"2,986"
"Whitfield County",13313,6.5,2338,"2,975"
"Candler County",13043,5.5,231,"2,922"
"Hall County",13139,4.9,3501,"2,882"
"DeKalb County",13089,4.4,12448,"2,852"
"Clayton County",13063,4.3,4568,"2,847"
"Gordon County",13129,3.9,803,"2,804"
"Turner County",13287,3.9,127,"2,804"
"Coffee County",13069,3.8,578,"2,791"
"Elbert County",13105,3.6,299,"2,773"
"Charlton County",13049,3.5,142,"2,761"
"Evans County",13109,3.5,136,"2,761"
"Cobb County",13067,3.3,9701,"2,723"
"Colquitt County",13071,3.3,563,"2,723"
"Long County",13183,3.3,194,"2,723"
"Toombs County",13279,3.3,334,"2,723"
"Forsyth County",13117,3.2,2737,"2,705"
"Chattahoochee County",13053,3.0,56,"2,663"
"Clarke County",13059,2.9,1567,"2,634"
"Rockdale County",13247,2.8,955,"2,612"
"Cherokee County",13057,2.7,2640,"2,583"
"Tift County",13277,2.7,421,"2,583"
"Bartow County",13015,2.6,1013,"2,557"
"Fulton County",13121,2.6,11778,"2,557"
"Banks County",13011,2.3,154,"2,466"
"Barrow County",13013,2.3,683,"2,466"
"Montgomery County",13209,2.3,68,"2,466"
"Carroll County",13045,2.2,969,"2,431"
"Floyd County",13115,2.2,813,"2,431"
"Polk County",13233,2.2,342,"2,431"
"Douglas County",13097,2.1,1066,"2,399"
"Habersham County",13137,2.1,331,"2,399"
"Glynn County",13127,2.0,692,"2,361"
"Jeff Davis County",13161,2.0,107,"2,361"
"Liberty County",13179,2.0,474,"2,361"
"Webster County",13307,2.0,17,"2,361"
"Franklin County",13119,1.9,165,"2,325"
"Chatham County",13051,1.8,2149,"2,273"
"Coweta County",13077,1.8,1022,"2,273"
"Fayette County",13113,1.8,787,"2,273"
"Grady County",13131,1.8,184,"2,273"
"Madison County",13195,1.8,201,"2,273"
"Hart County",13147,1.7,182,"2,224"
"Spalding County",13255,1.7,440,"2,224"
"Tattnall County",13267,1.7,132,"2,224"
"Troup County",13285,1.7,454,"2,224"
"Ware County",13299,1.7,214,"2,224"
"Henry County",13151,1.6,1380,"2,173"
"Peach County",13225,1.6,161,"2,173"
"Pulaski County",13235,1.6,54,"2,173"
"Macon County",13193,1.5,59,"2,103"
"Taylor County",13269,1.5,45,"2,103"
"Murray County",13213,1.4,212,"2,039"
"Worth County",13321,1.4,113,"2,039"
"Columbia County",13073,1.3,703,"1,973"
"Crisp County",13081,1.3,102,"1,973"
"Bibb County",13021,1.2,729,"1,903"
"Bryan County",13029,1.2,190,"1,903"
"Houston County",13153,1.2,738,"1,903"
"Jackson County",13157,1.2,311,"1,903"
"Lumpkin County",13187,1.2,136,"1,903"
