Poverty (Families below poverty) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3143 counties)
"Georgia",13000,9.9,263089,"39 of 52"
"United States",00000,8.7,7176933,"N/A"
"Terrell County",13273,25.7,585,"3,101"
"Jeff Davis County",13161,23.3,811,"3,073"
"Webster County",13307,23.2,118,"3,069"
"Macon County",13193,23.1,540,"3,067"
"Atkinson County",13003,22.4,530,"3,056"
"Stewart County",13259,22.2,233,"3,050"
"Taliaferro County",13265,22.0,97,"3,045"
"Lanier County",13173,21.9,565,"3,043"
"Hancock County",13141,21.7,383,"3,037"
"Miller County",13201,21.5,346,"3,029"
"Dougherty County",13095,21.4,4296,"3,028"
"Mitchell County",13205,21.3,1078,"3,025"
"Decatur County",13087,20.8,1421,"3,008"
"Emanuel County",13107,20.8,1149,"3,008"
"Jenkins County",13165,20.7,401,"3,005"
"Warren County",13301,20.4,267,"3,000"
"Appling County",13001,20.2,1011,"2,997"
"Ben Hill County",13017,20.1,944,"2,993"
"Burke County",13033,20.0,1169,"2,990"
"Charlton County",13049,19.8,528,"2,985"
"Crisp County",13081,19.7,1049,"2,979"
"Brooks County",13027,19.6,724,"2,974"
"Randolph County",13243,19.4,300,"2,971"
"Laurens County",13175,19.2,2394,"2,961"
"Telfair County",13271,19.0,414,"2,952"
"Bibb County",13021,18.9,6789,"2,945"
"Ware County",13299,18.9,1458,"2,945"
"Colquitt County",13071,18.8,2147,"2,941"
"Taylor County",13269,18.8,367,"2,941"
"Berrien County",13019,17.9,868,"2,904"
"Sumter County",13261,17.8,1160,"2,897"
"Calhoun County",13037,17.7,178,"2,892"
"Wayne County",13305,17.7,1344,"2,892"
"Polk County",13233,17.6,1957,"2,888"
"Richmond County",13245,17.5,7683,"2,882"
"Baker County",13007,17.4,125,"2,871"
"Bleckley County",13023,17.4,545,"2,871"
"Bacon County",13005,17.3,458,"2,862"
"Talbot County",13263,17.3,272,"2,862"
"Wilcox County",13315,17.1,285,"2,852"
"Coffee County",13069,17.0,1770,"2,836"
"Cook County",13075,17.0,749,"2,836"
"Wheeler County",13309,17.0,164,"2,836"
"Irwin County",13155,16.8,443,"2,820"
"Pulaski County",13235,16.7,343,"2,811"
"Tattnall County",13267,16.7,816,"2,811"
"Turner County",13287,16.6,345,"2,803"
"Tift County",13277,16.3,1681,"2,775"
"Upson County",13293,16.3,1076,"2,775"
"Early County",13099,16.2,443,"2,767"
"Baldwin County",13009,16.0,1555,"2,750"
"Chattooga County",13055,15.8,949,"2,725"
"Clay County",13061,15.7,110,"2,719"
"Jefferson County",13163,15.6,640,"2,710"
"Toombs County",13279,15.5,994,"2,700"
"Franklin County",13119,15.4,929,"2,688"
"Wilkinson County",13319,15.4,314,"2,688"
"McDuffie County",13189,15.3,875,"2,678"
"Lowndes County",13185,15.2,4287,"2,664"
"Clinch County",13065,15.1,265,"2,660"
"Muscogee County",13215,15.0,7315,"2,650"
"Heard County",13149,14.8,447,"2,624"
"Johnson County",13167,14.8,298,"2,624"
"Evans County",13109,14.7,386,"2,607"
"Worth County",13321,14.7,773,"2,607"
"Madison County",13195,14.6,1152,"2,598"
"Treutlen County",13283,14.5,211,"2,592"
"Twiggs County",13289,14.2,273,"2,563"
"Troup County",13285,14.1,2472,"2,551"
"Grady County",13131,14.0,962,"2,544"
"Thomas County",13275,13.8,1619,"2,525"
"Dooly County",13093,13.7,361,"2,510"
"McIntosh County",13191,13.7,444,"2,510"
"Meriwether County",13199,13.7,778,"2,510"
"Putnam County",13237,13.6,889,"2,494"
"Candler County",13043,13.4,371,"2,470"
"Elbert County",13105,13.4,694,"2,470"
"Spalding County",13255,13.4,2326,"2,470"
"Clayton County",13063,13.3,9269,"2,455"
"Dodge County",13091,13.2,603,"2,441"
"Wilkes County",13317,13.1,317,"2,423"
"Peach County",13225,13.0,876,"2,410"
"Floyd County",13115,12.9,3267,"2,386"
"Seminole County",13253,12.9,320,"2,386"
"Liberty County",13179,12.6,2010,"2,341"
"Marion County",13197,12.5,264,"2,318"
"Camden County",13039,12.4,1859,"2,298"
"Carroll County",13045,12.4,3847,"2,298"
"Clarke County",13059,12.4,3122,"2,298"
"Banks County",13011,12.2,600,"2,277"
"Montgomery County",13209,12.0,251,"2,237"
"Lincoln County",13181,11.9,259,"2,216"
"Washington County",13303,11.9,582,"2,216"
"Glynn County",13127,11.7,2675,"2,189"
"Bulloch County",13031,11.5,1966,"2,148"
"Chattahoochee County",13053,11.2,162,"2,077"
"Brantley County",13025,11.1,473,"2,047"
"Long County",13183,10.8,459,"1,985"
"Gilmer County",13123,10.6,958,"1,933"
"Screven County",13251,10.5,344,"1,912"
"Murray County",13213,10.2,1183,"1,851"
"Schley County",13249,10.0,119,"1,819"
"Jasper County",13159,9.9,425,"1,792"
"Whitfield County",13313,9.9,2597,"1,792"
"Chatham County",13051,9.8,7048,"1,777"
"Walker County",13295,9.7,1734,"1,757"
"DeKalb County",13089,9.5,15542,"1,694"
"Haralson County",13143,9.5,777,"1,694"
"Jones County",13169,9.5,710,"1,694"
"Newton County",13217,9.5,2870,"1,694"
