Population (Age Under 18) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age Under 18),Rank within US (of 3143 counties)
"United States",00000,22.2,73645238,"N/A"
"Georgia",13000,23.5,2542072,"11 of 52"
"Quitman County",13239,9.7,202,"3,133"
"Stewart County",13259,11.9,591,"3,123"
"Towns County",13281,12.5,1595,"3,116"
"Webster County",13307,14.0,328,"3,092"
"Hancock County",13141,15.1,1303,"3,053"
"McIntosh County",13191,15.2,1698,"3,046"
"Union County",13291,15.3,3920,"3,042"
"Calhoun County",13037,15.7,869,"3,014"
"Dooly County",13093,15.9,1753,"3,000"
"Fannin County",13111,15.9,4066,"3,000"
"Wheeler County",13309,15.9,1179,"3,000"
"Rabun County",13241,16.3,2790,"2,965"
"Talbot County",13263,16.3,939,"2,965"
"Clarke County",13059,17.0,21936,"2,908"
"Lumpkin County",13187,17.1,5809,"2,892"
"Greene County",13133,17.7,3462,"2,816"
"Johnson County",13167,18.0,1656,"2,761"
"Taliaferro County",13265,18.0,314,"2,761"
"Pulaski County",13235,18.3,1811,"2,702"
"Baker County",13007,18.4,522,"2,684"
"Gilmer County",13123,18.6,5944,"2,650"
"Jenkins County",13165,18.6,1612,"2,650"
"Wilcox County",13315,18.7,1640,"2,629"
"Macon County",13193,18.8,2248,"2,608"
"Baldwin County",13009,18.9,8274,"2,581"
"Dodge County",13091,19.0,3785,"2,557"
"Lincoln County",13181,19.0,1476,"2,557"
"Pickens County",13227,19.0,6504,"2,557"
"Twiggs County",13289,19.0,1494,"2,557"
"Chattahoochee County",13053,19.2,1759,"2,514"
"White County",13311,19.3,5490,"2,489"
"Dade County",13083,19.6,3178,"2,404"
"Putnam County",13237,19.6,4417,"2,404"
"Charlton County",13049,19.7,2502,"2,378"
"Clay County",13061,19.7,561,"2,378"
"Bleckley County",13023,20.0,2477,"2,300"
"Dawson County",13085,20.0,5753,"2,300"
"Seminole County",13253,20.0,1826,"2,300"
"Taylor County",13269,20.0,1556,"2,300"
"Bulloch County",13031,20.2,16405,"2,249"
"Tattnall County",13267,20.2,4893,"2,249"
"Warren County",13301,20.2,1047,"2,249"
"Marion County",13197,20.3,1517,"2,213"
"Butts County",13035,20.5,5350,"2,151"
"Montgomery County",13209,20.5,1777,"2,151"
"Hart County",13147,20.6,5468,"2,123"
"Wilkes County",13317,20.6,1969,"2,123"
"Crawford County",13079,20.8,2533,"2,044"
"Chatham County",13051,20.9,62410,"2,008"
"Screven County",13251,20.9,2944,"2,008"
"Monroe County",13207,21.0,6067,"1,977"
"Fulton County",13121,21.1,225602,"1,936"
"Glynn County",13127,21.1,17909,"1,936"
"Brooks County",13027,21.2,3452,"1,907"
"Peach County",13225,21.3,6019,"1,876"
"Banks County",13011,21.4,4017,"1,821"
"Walker County",13295,21.4,14648,"1,821"
"Chattooga County",13055,21.5,5382,"1,784"
"Glascock County",13125,21.5,626,"1,784"
"Harris County",13145,21.5,7637,"1,784"
"Lamar County",13171,21.6,4134,"1,725"
"Meriwether County",13199,21.6,4483,"1,725"
"Oglethorpe County",13221,21.6,3286,"1,725"
"Washington County",13303,21.6,4295,"1,725"
"Wilkinson County",13319,21.6,1903,"1,725"
"Habersham County",13137,21.9,10287,"1,606"
"Elbert County",13105,22.0,4336,"1,567"
"Stephens County",13257,22.1,5938,"1,518"
"Franklin County",13119,22.2,5288,"1,469"
"Worth County",13321,22.3,4585,"1,429"
"Brantley County",13025,22.4,4065,"1,385"
"Catoosa County",13047,22.4,15299,"1,385"
"Morgan County",13211,22.4,4609,"1,385"
"Irwin County",13155,22.5,2109,"1,340"
"Sumter County",13261,22.5,6569,"1,340"
"Jefferson County",13163,22.7,3512,"1,250"
"Fayette County",13113,22.8,27508,"1,209"
"Floyd County",13115,22.8,22594,"1,209"
"Jones County",13169,22.8,6518,"1,209"
"Lanier County",13173,22.8,2300,"1,209"
"Telfair County",13271,22.8,2778,"1,209"
"Terrell County",13273,22.8,2036,"1,209"
"Cobb County",13067,22.9,176082,"1,173"
"Miller County",13201,22.9,1342,"1,173"
"Mitchell County",13205,22.9,4903,"1,173"
"DeKalb County",13089,23.0,175339,"1,127"
"Richmond County",13245,23.0,47455,"1,127"
"Upson County",13293,23.1,6426,"1,087"
"Cherokee County",13057,23.3,63937,"1,001"
"Heard County",13149,23.3,2705,"1,001"
"Treutlen County",13283,23.3,1485,"1,001"
"Coweta County",13077,23.4,35133,"947"
"Crisp County",13081,23.4,4669,"947"
"Gordon County",13129,23.4,13622,"947"
"Jasper County",13159,23.4,3598,"947"
"Madison County",13195,23.4,7224,"947"
"Spalding County",13255,23.4,15956,"947"
"Pike County",13231,23.5,4595,"900"
"Bartow County",13015,23.6,26219,"866"
"Berrien County",13019,23.8,4347,"786"
"Carroll County",13045,23.8,29124,"786"
"Haralson County",13143,23.8,7323,"786"
"Thomas County",13275,23.8,10893,"786"
"Murray County",13213,23.9,9619,"750"
"Rockdale County",13247,23.9,22580,"750"
"Schley County",13249,23.9,1086,"750"
"Camden County",13039,24.1,13481,"687"
"Dougherty County",13095,24.2,20277,"647"
"Hall County",13139,24.2,50363,"647"
"Walton County",13297,24.2,24256,"647"
"Decatur County",13087,24.3,7090,"619"
"Wayne County",13305,24.3,7426,"619"
"Bibb County",13021,24.5,38287,"572"
"Early County",13099,24.5,2617,"572"
"Appling County",13001,24.6,4534,"545"
"Coffee County",13069,24.6,10622,"545"
"Lowndes County",13185,24.6,29282,"545"
"Troup County",13285,24.6,17154,"545"
"Ben Hill County",13017,24.7,4229,"530"
"Pierce County",13229,24.7,4949,"530"
"Burke County",13033,24.8,6067,"507"
"Grady County",13131,24.8,6451,"507"
"Laurens County",13175,24.9,12331,"492"
"Ware County",13299,24.9,8951,"492"
"Clinch County",13065,25.0,1679,"468"
"Emanuel County",13107,25.0,5750,"468"
"McDuffie County",13189,25.0,5424,"468"
"Muscogee County",13215,25.0,51127,"468"
"Candler County",13043,25.1,2754,"443"
"Columbia County",13073,25.1,40030,"443"
"Tift County",13277,25.1,10375,"443"
"Henry County",13151,25.2,61949,"426"
"Cook County",13075,25.3,4400,"398"
"Jackson County",13157,25.3,20370,"398"
"Whitfield County",13313,25.3,26051,"398"
"Atkinson County",13003,25.4,2099,"378"
"Bacon County",13005,25.4,2829,"378"
"Barrow County",13013,25.4,22096,"378"
"Polk County",13233,25.4,10994,"378"
"Turner County",13287,25.5,2269,"355"
"Douglas County",13097,25.6,37396,"338"
"Houston County",13153,25.6,42779,"338"
"Newton County",13217,25.6,29569,"338"
"Evans County",13109,25.7,2755,"324"
"Paulding County",13223,25.7,44800,"324"
"Colquitt County",13071,25.8,11825,"315"
"Lee County",13177,25.9,8627,"299"
"Forsyth County",13117,26.2,68187,"259"
"Jeff Davis County",13161,26.2,3893,"259"
"Oconee County",13219,26.2,11213,"259"
"Gwinnett County",13135,26.4,255222,"241"
