Workforce (Unemployed) for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, Ages 16+, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Unemployed),Rank within US (of 3143 counties)
"United States",00000,5.2,8759317,"N/A"
"Georgia",13000,5.1,276950,"30 of 52"
"Quitman County",13239,31.1,237,"3,143"
"Turner County",13287,11.6,443,"3,093"
"Dougherty County",13095,10.8,3909,"3,070"
"Randolph County",13243,10.3,278,"3,057"
"Charlton County",13049,10.1,544,"3,050"
"Emanuel County",13107,9.7,986,"3,029"
"Baker County",13007,9.6,96,"3,025"
"Crisp County",13081,8.7,780,"2,973"
"Macon County",13193,8.6,348,"2,964"
"Terrell County",13273,8.1,281,"2,914"
"Treutlen County",13283,8.1,215,"2,914"
"Liberty County",13179,8.0,2057,"2,909"
"Bulloch County",13031,7.9,3179,"2,894"
"Chattahoochee County",13053,7.9,108,"2,894"
"Richmond County",13245,7.9,7429,"2,894"
"Warren County",13301,7.7,165,"2,872"
"Bibb County",13021,7.5,5221,"2,842"
"Bleckley County",13023,7.4,392,"2,824"
"Calhoun County",13037,7.4,122,"2,824"
"Jasper County",13159,7.2,517,"2,783"
"Taylor County",13269,7.2,236,"2,783"
"Johnson County",13167,7.1,240,"2,760"
"Decatur County",13087,6.9,821,"2,718"
"Tattnall County",13267,6.9,638,"2,718"
"Early County",13099,6.8,304,"2,695"
"Clayton County",13063,6.7,10101,"2,671"
"Peach County",13225,6.7,896,"2,671"
"Wayne County",13305,6.7,824,"2,671"
"Mitchell County",13205,6.6,562,"2,640"
"Newton County",13217,6.6,3850,"2,640"
"Brooks County",13027,6.5,460,"2,613"
"Muscogee County",13215,6.5,5775,"2,613"
"Thomas County",13275,6.5,1459,"2,613"
"Wheeler County",13309,6.5,196,"2,613"
"DeKalb County",13089,6.4,26350,"2,585"
"Elbert County",13105,6.4,587,"2,585"
"Worth County",13321,6.4,584,"2,585"
"Meriwether County",13199,6.3,541,"2,542"
"Wilcox County",13315,6.3,190,"2,542"
"Carroll County",13045,6.1,3729,"2,471"
"Douglas County",13097,6.1,4648,"2,471"
"Montgomery County",13209,6.1,231,"2,471"
"Hancock County",13141,5.9,142,"2,383"
